cs_chr	cs_start	cs_end	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	n_anchors	mean_identity
Chr1B	129176801	130645947	Chr1B	541850812	543304102	16	0.9998125
Chr1B	131460620	132064535	Chr1B	544113878	544714425	5	0.999
Chr1B	132935805	133517206	Chr1B	545582685	546717641	14	0.9984999999999999
Chr1B	134417100	135246655	Chr1B	547607595	548495685	6	0.9998333333333335
Chr1B	712634	3271454	Chr1B	242773	1867143	19	0.9912631578947368
Chr1B	5510078	47633467	Chr1B	2292541	47467130	402	0.9899800995024876
Chr1B	49796024	69828882	Chr1B	47854991	67327894	162	0.9899876543209876
Chr1B	74230466	76138867	Chr1B	67865720	69797149	4	0.99875
Chr1B	80709308	85441230	Chr1B	73914223	79137203	17	0.9975882352941177
Chr1B	87732453	125849849	Chr1B	81434855	119786019	216	0.9989768518518518
Chr1B	135815222	143058806	Chr1B	120813067	128009952	60	0.99845
Chr1B	151463850	218433567	Chr1B	128602331	195455158	231	0.9985454545454545
Chr1B	222303276	223795187	Chr1B	196591287	198069067	4	0.99975
Chr1B	239778311	243089038	Chr1B	205491844	207760970	6	1.0
Chr1B	245942911	246982998	Chr1B	214049751	215076401	5	0.9978
Chr1B	256200870	279192715	Chr1B	216093364	239366833	71	0.9987464788732394
Chr1B	282129206	289694136	Chr1B	241931581	249350563	33	0.9997878787878789
Chr1B	292342566	292422556	Chr1B	252049551	252127902	5	0.9962
Chr1B	317577104	317585992	Chr1B	253844515	253853208	3	0.9853333333333333
Chr1B	322108938	345417338	Chr1B	254559431	277809149	150	0.9962933333333335
Chr1B	352334808	368409309	Chr1B	278668126	294644321	79	0.9996835443037976
Chr1B	374012425	478723199	Chr1B	295028157	398900765	636	0.9968396226415095
Chr1B	495415769	523335201	Chr1B	400059429	428474580	172	0.9974069767441861
Chr1B	528359382	548976129	Chr1B	429168367	449461787	171	0.9982631578947367
Chr1B	551009395	619586799	Chr1B	449846481	521211492	574	0.9950452961672474
Chr1B	629263747	670399247	Chr1B	521566582	571664454	481	0.9916070686070686
Chr1B	672957860	673639059	Chr1B	571810733	572482190	5	0.9907999999999999
Chr1B	675726795	687423124	Chr1B	573663880	593261331	82	0.9874268292682924
