cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr5B	18593	104908773	Chr5B	765196	105848853	723	0.9947427385892117
Chr5B	107210786	150623157	Chr5B	105889335	148675780	232	0.997176724137931
Chr5B	153027140	156551532	Chr5B	150972625	154529357	8	0.998875
Chr5B	158568371	169148558	Chr5B	156392934	169032209	18	0.9964444444444445
Chr5B	178978447	184235419	Chr5B	177874312	183515606	8	0.988875
Chr5B	193712534	194129805	Chr5B	191515683	191951332	3	0.9986666666666667
Chr5B	206148489	210800536	Chr5B	203385557	208094722	9	0.9982222222222222
Chr5B	222313523	239465934	Chr5B	219363344	237322691	69	0.9952608695652174
Chr5B	241488361	344742710	Chr5B	239135730	342252809	568	0.9970915492957746
Chr5B	346985936	386215007	Chr5B	344501045	383684885	212	0.9970943396226415
Chr5B	389314561	415604247	Chr5B	383942268	410569569	196	0.9945918367346938
Chr5B	417734794	714671459	Chr5B	411851863	703481714	2951	0.9916926465604878
