gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	200628	204864	+	202746	1.0	0.994
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	228501	232326	-	230413	1.0	0.993
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	375781	376158	+	375969	1.0	0.994
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	898824	902937	-	900880	1.0	0.97
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	907818	910536	-	909177	1.0	1.0
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	951742	958323	+	955032	1.0	1.0
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	967069	970139	+	968604	1.0	1.0
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1168183	1171469	+	1169826	1.0	1.0
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1197166	1198964	+	1198065	1.0	0.999
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1244191	1246481	+	1245336	1.0	1.0
gene:TraesCS3A03G0003900	Chr3A	1064790	1066982	+	1065886	Chr3A	1278145	1280337	+	1279241	1.0	1.0
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	1288921	1291592	+	1290256	1.0	1.0
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2265421	2265928	+	2265674	1.0	0.984
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2271762	2272178	+	2271970	1.0	1.0
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2224604	2225030	+	2224817	0.981	0.96
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2332492	2333413	+	2332952	1.0	0.991
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2481834	2482320	-	2482077	1.0	0.996
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2619508	2621365	+	2620436	1.0	0.989
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2629874	2630351	+	2630112	1.0	0.995
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2636301	2636903	+	2636602	1.0	0.993
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2841100	2843343	-	2842221	1.0	0.954
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	2857041	2857783	+	2857412	0.998	0.989
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	2863822	2867278	+	2865550	1.0	0.994
gene:TraesCS3A03G0009000	Chr3A	2524157	2524527	+	2524342	Chr3A	3744453	3744823	+	3744638	1.0	0.963
gene:TraesCS3A03G0009100	Chr3A	2692803	2693503	+	2693153	Chr3A	3936757	3937459	+	3937108	0.998	0.957
gene:TraesCS3A03G0009500	Chr3A	2986222	2986840	+	2986531	Chr3A	3981352	3981955	+	3981653	1.0	0.969
gene:TraesCS3A03G0009600	Chr3A	3003041	3003623	+	3003332	Chr3A	2895288	2895870	+	2895579	1.0	0.973
gene:TraesCS3A03G0010200	Chr3A	3503928	3504623	+	3504275	Chr3A	3500710	3501403	+	3501056	0.996	0.975
gene:TraesCS3A03G0010400	Chr3A	3528309	3528679	+	3528494	Chr3A	3814856	3815226	+	3815041	1.0	0.963
gene:TraesCS3A03G0010900	Chr3A	4550825	4551422	+	4551123	Chr3A	3014559	3015154	-	3014856	0.995	0.981
gene:TraesCS3A03G0012000	Chr3A	6071257	6073396	-	6072326	Chr3A	3389838	3391999	-	3390918	0.974	0.945
gene:TraesCS3A03G0012100	Chr3A	6164579	6164949	+	6164764	Chr3A	3170768	3171138	+	3170953	1.0	0.991
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	4318082	4318819	-	4318450	1.0	0.982
gene:TraesCS3A03G0014200	Chr3A	7201106	7201878	-	7201492	Chr3A	4327670	4328450	-	4328060	1.0	0.982
gene:TraesCS3A03G0014600	Chr3A	7271218	7272481	-	7271849	Chr3A	4363382	4364645	-	4364013	1.0	0.993
gene:TraesCS3A03G0014700	Chr3A	7285296	7286069	-	7285682	Chr3A	4378801	4379574	-	4379187	1.0	0.983
gene:TraesCS3A03G0014800	Chr3A	7323919	7329828	+	7326873	Chr3A	4463048	4468977	+	4466012	0.998	0.991
gene:TraesCS3A03G0015200	Chr3A	7342556	7344335	-	7343445	Chr3A	4486918	4488699	-	4487808	1.0	0.996
gene:TraesCS3A03G0015300	Chr3A	7348215	7349429	-	7348822	Chr3A	4492831	4494072	-	4493451	0.995	0.951
gene:TraesCS3A03G0016000	Chr3A	7452849	7457127	-	7454988	Chr3A	4530955	4535304	-	4533129	0.992	0.946
gene:TraesCS3A03G0016300	Chr3A	7500062	7500565	-	7500313	Chr3A	4554001	4554504	-	4554252	1.0	0.998
gene:TraesCS3A03G0016400	Chr3A	7504661	7506864	-	7505762	Chr3A	4558638	4560838	-	4559738	0.996	0.986
gene:TraesCS3A03G0016800	Chr3A	7541942	7543943	-	7542942	Chr3A	4595877	4597896	-	4596886	0.998	0.973
gene:TraesCS3A03G0017200	Chr3A	7711376	7711747	+	7711561	Chr3A	4754493	4754864	+	4754678	1.0	0.991
gene:TraesCS3A03G0017400	Chr3A	7713418	7714814	+	7714116	Chr3A	4757354	4758726	+	4758040	0.969	0.949
gene:TraesCS3A03G0017500	Chr3A	7835763	7836658	+	7836210	Chr3A	4802048	4802965	+	4802506	0.978	0.925
gene:TraesCS3A03G0017800	Chr3A	7873298	7874889	+	7874093	Chr3A	4857058	4858649	+	4857853	1.0	0.991
gene:TraesCS3A03G0018000	Chr3A	7971289	7981899	-	7976594	Chr3A	4930922	4942354	-	4936638	0.987	0.98
gene:TraesCS3A03G0018100	Chr3A	8000243	8004061	+	8002152	Chr3A	4949940	4953728	+	4951834	0.988	0.978
gene:TraesCS3A03G0019200	Chr3A	8216747	8228758	-	8222752	Chr3A	5116719	5130072	-	5123395	0.999	0.982
gene:TraesCS3A03G0019300	Chr3A	8264742	8266092	-	8265417	Chr3A	5160052	5161401	-	5160726	1.0	0.997
gene:TraesCS3A03G0019400	Chr3A	8307059	8308734	+	8307896	Chr3A	5201463	5203138	+	5202300	1.0	1.0
gene:TraesCS3A03G0019500	Chr3A	8312029	8313781	+	8312905	Chr3A	5206321	5208073	+	5207197	1.0	1.0
gene:TraesCS3A03G0019700	Chr3A	8346895	8348759	+	8347827	Chr3A	5243130	5244994	+	5244062	1.0	1.0
gene:TraesCS3A03G0019800	Chr3A	8367335	8369021	-	8368178	Chr3A	5263514	5265200	-	5264357	1.0	1.0
gene:TraesCS3A03G0019900	Chr3A	8375625	8381694	-	8378659	Chr3A	5271805	5277875	-	5274840	1.0	1.0
gene:TraesCS3A03G0020000	Chr3A	8630226	8631203	+	8630714	Chr3A	5496708	5497685	+	5497196	1.0	0.998
gene:TraesCS3A03G0020300	Chr3A	8675885	8676581	+	8676233	Chr3A	5527409	5528105	+	5527757	1.0	1.0
gene:TraesCS3A03G0020900	Chr3A	8761108	8765593	+	8763350	Chr3A	5613184	5618049	+	5615616	1.0	1.0
gene:TraesCS3A03G0021100	Chr3A	8815764	8817443	-	8816603	Chr3A	5668545	5670224	-	5669384	1.0	1.0
gene:TraesCS3A03G0021300	Chr3A	8871318	8877341	-	8874329	Chr3A	5725267	5731290	-	5728278	1.0	1.0
gene:TraesCS3A03G0021400	Chr3A	8913508	8916672	+	8915090	Chr3A	5810738	5813902	+	5812320	1.0	1.0
gene:TraesCS3A03G0021500	Chr3A	8936932	8941473	+	8939202	Chr3A	5834404	5838947	+	5836675	0.998	0.998
gene:TraesCS3A03G0021700	Chr3A	8941709	8945367	-	8943538	Chr3A	5839183	5842841	-	5841012	1.0	1.0
gene:TraesCS3A03G0021900	Chr3A	8978050	8978574	-	8978312	Chr3A	5875596	5876120	-	5875858	1.0	1.0
gene:TraesCS3A03G0022000	Chr3A	8985209	8987799	-	8986504	Chr3A	5881277	5883867	-	5882572	1.0	0.998
gene:TraesCS3A03G0022200	Chr3A	9011498	9016641	+	9014069	Chr3A	5907766	5912909	+	5910337	1.0	1.0
gene:TraesCS3A03G0022600	Chr3A	9084051	9084863	+	9084457	Chr3A	5983224	5984036	+	5983630	1.0	1.0
gene:TraesCS3A03G0022900	Chr3A	9122196	9122766	+	9122481	Chr3A	6021750	6022320	+	6022035	1.0	1.0
gene:TraesCS3A03G0023000	Chr3A	9127412	9127948	+	9127680	Chr3A	6026967	6027503	+	6027235	1.0	1.0
gene:TraesCS3A03G0023200	Chr3A	9140921	9143315	-	9142118	Chr3A	6040432	6042826	-	6041629	1.0	0.999
gene:TraesCS3A03G0023300	Chr3A	9149932	9150266	+	9150099	Chr3A	6049443	6049777	+	6049610	1.0	1.0
gene:TraesCS3A03G0023400	Chr3A	9185907	9188079	+	9186993	Chr3A	6085918	6088110	+	6087014	1.0	0.98
gene:TraesCS3A03G0023600	Chr3A	9261431	9262046	+	9261738	Chr3A	6161870	6162485	+	6162177	1.0	1.0
gene:TraesCS3A03G0023700	Chr3A	9267065	9267926	+	9267495	Chr3A	6167504	6168365	+	6167934	1.0	1.0
gene:TraesCS3A03G0023900	Chr3A	9285037	9286005	+	9285521	Chr3A	6185793	6186761	+	6186277	1.0	1.0
gene:TraesCS3A03G0024200	Chr3A	9353587	9354501	-	9354044	Chr3A	6254791	6255705	-	6255248	1.0	1.0
gene:TraesCS3A03G0024300	Chr3A	9359102	9359684	+	9359393	Chr3A	6260629	6261211	+	6260920	1.0	1.0
gene:TraesCS3A03G0025100	Chr3A	9517378	9518223	+	9517800	Chr3A	6419558	6420403	+	6419980	1.0	1.0
gene:TraesCS3A03G0025300	Chr3A	9545280	9546050	+	9545665	Chr3A	6447768	6448538	+	6448153	1.0	1.0
gene:TraesCS3A03G0025400	Chr3A	9552904	9553640	+	9553272	Chr3A	6455818	6456554	+	6456186	1.0	1.0
gene:TraesCS3A03G0025600	Chr3A	9592895	9595184	+	9594039	Chr3A	6496938	6499227	+	6498082	1.0	1.0
gene:TraesCS3A03G0025700	Chr3A	9618194	9622397	-	9620295	Chr3A	6522570	6526773	-	6524671	1.0	0.999
gene:TraesCS3A03G0025800	Chr3A	9627814	9628797	+	9628305	Chr3A	6532119	6533102	+	6532610	1.0	1.0
gene:TraesCS3A03G0026000	Chr3A	9642965	9643977	-	9643471	Chr3A	6547270	6548282	-	6547776	1.0	1.0
gene:TraesCS3A03G0026100	Chr3A	9644666	9645634	+	9645150	Chr3A	6548971	6549939	+	6549455	1.0	0.998
gene:TraesCS3A03G0026200	Chr3A	9653139	9669786	-	9661462	Chr3A	6557450	6574114	-	6565782	1.0	1.0
gene:TraesCS3A03G0026400	Chr3A	9675840	9678026	-	9676933	Chr3A	6580168	6582354	-	6581261	1.0	0.999
gene:TraesCS3A03G0026600	Chr3A	9681672	9684244	-	9682958	Chr3A	6586000	6588572	-	6587286	1.0	1.0
gene:TraesCS3A03G0026500	Chr3A	9681056	9686935	+	9683995	Chr3A	6585384	6591263	+	6588323	1.0	1.0
gene:TraesCS3A03G0026700	Chr3A	9698618	9702084	+	9700351	Chr3A	6603782	6607228	+	6605505	1.0	1.0
gene:TraesCS3A03G0026800	Chr3A	9799271	9815425	-	9807348	Chr3A	6704963	6721069	-	6713016	1.0	1.0
gene:TraesCS3A03G0027000	Chr3A	9838666	9841851	-	9840258	Chr3A	6744920	6748105	-	6746512	1.0	1.0
gene:TraesCS3A03G0027100	Chr3A	9845757	9852029	-	9848893	Chr3A	6752019	6758291	-	6755155	1.0	1.0
gene:TraesCS3A03G0027300	Chr3A	9849094	9851236	+	9850165	Chr3A	6755356	6757498	+	6756427	1.0	0.999
gene:TraesCS3A03G0027400	Chr3A	9878532	9882948	-	9880740	Chr3A	6786246	6790670	-	6788458	1.0	0.996
gene:TraesCS3A03G0027500	Chr3A	9911389	9914507	-	9912948	Chr3A	6821113	6824233	-	6822673	1.0	0.996
gene:TraesCS3A03G0027600	Chr3A	9920569	9923925	+	9922247	Chr3A	6830831	6834187	+	6832509	1.0	0.995
gene:TraesCS3A03G0027800	Chr3A	9955886	9957529	+	9956707	Chr3A	6875137	6876780	+	6875958	1.0	0.996
gene:TraesCS3A03G0027900	Chr3A	9998888	9999945	+	9999416	Chr3A	6913311	6914368	+	6913839	1.0	0.998
gene:TraesCS3A03G0028000	Chr3A	10000200	10001623	+	10000911	Chr3A	6914624	6916293	+	6915458	1.0	0.998
gene:TraesCS3A03G0028100	Chr3A	10018154	10019155	+	10018654	Chr3A	6938168	6939169	+	6938668	1.0	0.996
gene:TraesCS3A03G0028300	Chr3A	10031730	10032560	+	10032145	Chr3A	6943854	6944684	+	6944269	1.0	0.992
gene:TraesCS3A03G0028800	Chr3A	10055001	10064947	-	10059974	Chr3A	6971920	6981946	-	6976933	1.0	0.998
gene:TraesCS3A03G0029000	Chr3A	10209232	10215296	+	10212264	Chr3A	7126289	7132354	+	7129321	1.0	1.0
gene:TraesCS3A03G0029200	Chr3A	10220045	10221046	+	10220545	Chr3A	7137102	7138103	+	7137602	1.0	1.0
gene:TraesCS3A03G0029300	Chr3A	10232174	10234897	+	10233535	Chr3A	7149391	7152114	+	7150752	1.0	1.0
gene:TraesCS3A03G0029500	Chr3A	10278955	10283756	+	10281355	Chr3A	7196534	7201337	+	7198935	1.0	0.992
gene:TraesCS3A03G0029700	Chr3A	10310419	10311840	+	10311129	Chr3A	7211996	7213417	+	7212706	1.0	0.968
gene:TraesCS3A03G0030200	Chr3A	10327162	10329201	-	10328181	Chr3A	7243904	7245955	-	7244929	1.0	0.975
gene:TraesCS3A03G0030500	Chr3A	10336408	10337433	+	10336920	Chr3A	7251959	7252984	+	7252471	1.0	0.994
gene:TraesCS3A03G0031000	Chr3A	10447941	10449839	+	10448890	Chr3A	7291996	7293894	+	7292945	1.0	0.993
gene:TraesCS3A03G0031100	Chr3A	10497436	10508467	+	10502951	Chr3A	7341976	7352882	+	7347429	1.0	0.969
gene:TraesCS3A03G0031400	Chr3A	10518095	10519252	+	10518673	Chr3A	7364273	7365430	+	7364851	1.0	0.991
gene:TraesCS3A03G0031600	Chr3A	10596607	10597776	-	10597191	Chr3A	7658180	7659349	-	7658764	1.0	0.986
gene:TraesCS3A03G0031900	Chr3A	10603343	10604659	+	10604001	Chr3A	7664572	7665888	+	7665230	1.0	0.988
gene:TraesCS3A03G0032000	Chr3A	10629481	10630653	-	10630067	Chr3A	7741419	7742576	-	7741997	0.987	0.967
gene:TraesCS3A03G0032200	Chr3A	10652173	10652544	-	10652358	Chr3A	7261463	7261834	+	7261648	1.0	0.932
