gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	1199954	1201520	+	1200737	0.958	0.922	collinear
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	1207204	1208795	+	1207999	1.0	0.989	collinear
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	772642	776634	-	774638	1.0	0.997	collinear
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	767617	771770	+	769693	1.0	0.985	collinear
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	708816	714148	+	711482	0.994	0.979	collinear
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	696921	700125	-	698523	0.986	0.973	collinear
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	660750	661379	-	661064	1.0	0.973	collinear
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	613786	614412	+	614099	1.0	0.984	collinear
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	570462	571460	+	570961	1.0	0.988	collinear
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	547293	547685	-	547489	1.0	0.994	collinear
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	522609	524233	-	523421	1.0	0.972	collinear
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	522711	524084	+	523397	1.0	0.965	collinear
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	504930	508213	-	506571	1.0	0.994	collinear
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	277822	279809	-	278815	0.986	0.983	collinear
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	262182	263935	+	263058	1.0	0.99	collinear
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	146993	148763	-	147878	0.998	0.996	collinear
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	130374	131420	-	130897	1.0	0.988	collinear
gene:TraesCS4B03G0003200	Chr4B	1322700	1324740	+	1323720	Chr4B	111272	113315	-	112293	1.0	0.995	collinear
gene:TraesCS4B03G0003300	Chr4B	1336993	1338899	+	1337946	Chr4B	97048	98911	-	97979	0.982	0.98	collinear
gene:TraesCS4B03G0003400	Chr4B	1351991	1352386	-	1352188	Chr4B	92339	92725	+	92532	0.977	0.972	collinear
gene:TraesCS4B03G0003600	Chr4B	1386123	1388841	+	1387482	Chr4B	47113	49835	-	48474	1.0	0.994	collinear
gene:TraesCS4B03G0003700	Chr4B	1405651	1408832	+	1407241	Chr4B	36803	40017	-	38410	0.98	0.927	collinear
gene:TraesCS4B03G0003800	Chr4B	1685750	1687075	+	1686412	Chr4B	1544273	1545576	-	1544924	0.969	0.944	collinear
gene:TraesCS4B03G0004200	Chr4B	1757457	1761476	+	1759466	Chr4B	1480122	1484062	-	1482092	1.0	0.999	collinear
gene:TraesCS4B03G0004300	Chr4B	1762923	1767453	+	1765188	Chr4B	1474277	1478671	-	1476474	0.996	0.99	collinear
gene:TraesCS4B03G0004400	Chr4B	1769850	1774224	+	1772037	Chr4B	1467267	1471642	-	1469454	1.0	0.992	collinear
gene:TraesCS4B03G0004500	Chr4B	1775068	1779099	+	1777083	Chr4B	1461911	1466277	-	1464094	1.0	0.996	collinear
gene:TraesCS4B03G0004900	Chr4B	1839220	1843075	+	1841147	Chr4B	1373528	1377375	-	1375451	1.0	0.987	collinear
gene:TraesCS4B03G0005300	Chr4B	2021348	2025490	-	2023419	Chr4B	1210504	1214646	+	1212575	1.0	0.997	collinear
gene:TraesCS4B03G0005400	Chr4B	2134054	2136160	+	2135107	Chr4B	1768747	1770850	+	1769798	1.0	0.997	collinear
gene:TraesCS4B03G0006600	Chr4B	2361690	2362465	-	2362077	Chr4B	2021110	2021885	-	2021497	1.0	0.998	collinear
gene:TraesCS4B03G0007800	Chr4B	3611489	3612627	+	3612058	Chr4B	4056406	4057544	+	4056975	1.0	1.0	collinear
gene:TraesCS4B03G0008000	Chr4B	3629912	3630922	-	3630417	Chr4B	4077510	4078520	-	4078015	1.0	1.0	collinear
gene:TraesCS4B03G0009600	Chr4B	4394789	4395654	-	4395221	Chr4B	4141635	4142500	+	4142067	1.0	1.0	collinear
gene:TraesCS4B03G0010100	Chr4B	4628508	4631877	-	4630192	Chr4B	3824069	3827438	+	3825753	1.0	1.0	collinear
gene:TraesCS4B03G0010200	Chr4B	4649709	4654096	+	4651902	Chr4B	3801825	3806212	-	3804018	1.0	1.0	collinear
gene:TraesCS4B03G0010400	Chr4B	4694467	4701478	+	4697972	Chr4B	3754254	3761433	-	3757843	1.0	1.0	collinear
gene:TraesCS4B03G0010500	Chr4B	4702115	4703499	+	4702807	Chr4B	3752233	3753617	-	3752925	1.0	0.999	collinear
gene:TraesCS4B03G0010600	Chr4B	4704103	4704905	+	4704504	Chr4B	3750827	3751629	-	3751228	1.0	1.0	collinear
gene:TraesCS4B03G0010700	Chr4B	4748349	4751329	-	4749839	Chr4B	3703052	3706032	+	3704542	1.0	1.0	collinear
