gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS1B03G0001600	Chr1B	1190948	1191943	+	1191445	Chr1B	8034186	8035364	-	8034775	1.0	0.974	rearrangement:Chr1B_block1
gene:TraesCS1B03G0002000	Chr1B	1195555	1199187	-	1197371	Chr1B	8028362	8031637	+	8029999	0.961	0.92	rearrangement:Chr1B_block1
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	8022622	8026721	+	8024671	0.993	0.992	rearrangement:Chr1B_block1
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	7943552	7950665	-	7947108	0.989	0.972	rearrangement:Chr1B_block1
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	7938777	7940625	-	7939701	1.0	0.986	rearrangement:Chr1B_block1
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	7932848	7933736	+	7933292	1.0	0.994	rearrangement:Chr1B_block1
gene:TraesCS1B03G0002700	Chr1B	1268212	1281120	-	1274666	Chr1B	7909118	7922171	+	7915644	1.0	0.989	rearrangement:Chr1B_block1
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	7805349	7807729	-	7806539	1.0	0.999	rearrangement:Chr1B_block1
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	7801701	7804567	+	7803134	0.996	0.987	rearrangement:Chr1B_block1
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	7797586	7800694	+	7799140	0.998	0.984	rearrangement:Chr1B_block1
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	7787977	7794275	+	7791126	0.996	0.974	rearrangement:Chr1B_block1
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	7751514	7754603	-	7753058	1.0	0.987	rearrangement:Chr1B_block1
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	7611510	7623140	+	7617325	0.992	0.969	rearrangement:Chr1B_block1
gene:TraesCS1B03G0150400	Chr1B	52074788	52077663	-	52076225	Chr1B	46209613	46212488	+	46211050	1.0	1.0	rearrangement:Chr1B_block2
gene:TraesCS1B03G0150700	Chr1B	52120712	52123922	-	52122317	Chr1B	46164135	46167342	+	46165738	1.0	0.996	rearrangement:Chr1B_block2
gene:TraesCS1B03G0151000	Chr1B	52130375	52131343	+	52130859	Chr1B	46156702	46157674	-	46157188	1.0	0.978	rearrangement:Chr1B_block2
gene:TraesCS1B03G0151800	Chr1B	52406231	52411000	+	52408615	Chr1B	45962308	45967093	-	45964700	0.991	0.975	rearrangement:Chr1B_block2
gene:TraesCS1B03G0152000	Chr1B	52418802	52420346	+	52419574	Chr1B	45951975	45953519	-	45952747	1.0	0.997	rearrangement:Chr1B_block2
gene:TraesCS1B03G0152200	Chr1B	52422476	52424467	+	52423471	Chr1B	45947818	45949809	-	45948813	1.0	0.999	rearrangement:Chr1B_block2
gene:TraesCS1B03G0152300	Chr1B	52426282	52428285	+	52427283	Chr1B	45943997	45946000	-	45944998	1.0	0.985	rearrangement:Chr1B_block2
gene:TraesCS1B03G0152600	Chr1B	52451165	52452308	+	52451736	Chr1B	45920339	45921494	-	45920916	1.0	0.988	rearrangement:Chr1B_block2
gene:TraesCS1B03G0153000	Chr1B	52750771	52754065	-	52752418	Chr1B	45637522	45640816	+	45639169	1.0	0.998	rearrangement:Chr1B_block2
gene:TraesCS1B03G0153100	Chr1B	52787507	52790128	+	52788817	Chr1B	45601239	45603860	-	45602549	1.0	1.0	rearrangement:Chr1B_block2
gene:TraesCS1B03G0153200	Chr1B	52847418	52850768	+	52849093	Chr1B	45540098	45543448	-	45541773	1.0	0.997	rearrangement:Chr1B_block2
