gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	94814	97785	-	96299	1.0	1.0
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	97797	99673	-	98735	1.0	1.0
gene:TraesCS6A03G0000900	Chr6A	298705	305357	-	302031	Chr6A	276807	283459	-	280133	1.0	1.0
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	328635	330204	-	329419	1.0	1.0
gene:TraesCS6A03G0001100	Chr6A	1025042	1029912	+	1027477	Chr6A	717587	722768	+	720177	1.0	0.997
gene:TraesCS6A03G0001200	Chr6A	1092697	1097130	+	1094913	Chr6A	768950	773383	+	771166	1.0	1.0
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	956052	958070	-	957061	1.0	1.0
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	985608	987084	-	986346	1.0	1.0
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	991570	992175	-	991872	1.0	1.0
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	1019577	1021558	+	1020567	0.978	0.976
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	1081854	1082791	+	1082322	1.0	1.0
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	1090293	1094653	-	1092473	1.0	1.0
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	1103212	1107909	+	1105560	1.0	1.0
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	1116858	1117904	-	1117381	1.0	1.0
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	1123896	1124283	+	1124089	1.0	1.0
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	1131750	1132247	-	1131998	1.0	1.0
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	1134256	1135230	+	1134743	1.0	1.0
gene:TraesCS6A03G0002800	Chr6A	1493591	1500030	+	1496810	Chr6A	1183004	1189443	+	1186223	1.0	1.0
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	1224824	1231735	+	1228279	1.0	1.0
