cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr1B	1804789	31339892	Chr1B	414699	32361633	374	0.9928262032085562
Chr1B	34045861	38402288	Chr1B	33544173	42357557	29	0.992241379310345
Chr1B	40611674	50995493	Chr1B	37826354	50110289	50	0.9881
Chr1B	53302508	77995417	Chr1B	51084750	74085638	187	0.9902192513368984
Chr1B	80022286	81974218	Chr1B	76062030	78010743	4	0.99975
Chr1B	86500196	91210816	Chr1B	82713436	86922371	17	0.9995882352941178
Chr1B	93699444	224268457	Chr1B	89433735	219645558	574	0.9983048780487804
Chr1B	226868456	237708948	Chr1B	221952176	232897949	15	0.9962666666666667
Chr1B	246841035	249142619	Chr1B	243532080	245890192	6	1.0
Chr1B	251958660	272283175	Chr1B	252168445	273683759	50	0.99646
Chr1B	274419536	296088628	Chr1B	275832003	297487738	79	0.9979367088607596
Chr1B	298738700	298817103	Chr1B	300089454	300177316	5	0.9946
Chr1B	301350787	324212763	Chr1B	302669392	329981295	86	0.9848255813953488
Chr1B	328393948	610054373	Chr1B	330689003	613107101	1808	0.9953633849557522
Chr1B	612720829	618240784	Chr1B	615868857	621416373	39	0.996205128205128
Chr1B	621274975	700379038	Chr1B	624799565	703976621	832	0.9910072115384616
