cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr5A	14293	62409843	Chr5A	288069	62796292	539	0.9954935064935065
Chr5A	65256920	152899436	Chr5A	66020784	153976546	402	0.9983233830845771
Chr5A	156754150	160718182	Chr5A	157656371	161681194	13	0.9999230769230769
Chr5A	163084098	182449906	Chr5A	164079744	183029555	37	0.9995675675675676
Chr5A	184871905	187078746	Chr5A	185464264	187684185	4	1.0
Chr5A	192446609	200581324	Chr5A	193083685	201333863	16	0.998875
Chr5A	204816399	224020772	Chr5A	205607910	224851480	33	0.998969696969697
Chr5A	226098410	238494644	Chr5A	226949384	238990759	27	0.9988518518518519
Chr5A	259606122	428812755	Chr5A	261804089	431977977	883	0.9976511891279728
Chr5A	431918117	544565463	Chr5A	432276337	545215928	1072	0.9932145522388061
Chr5A	547629620	555065018	Chr5A	545261546	552889382	97	0.9937525773195875
Chr5A	557201506	713328361	Chr5A	557608732	713310458	1945	0.9965542416452442
