gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity
gene:TraesCS2D03G0000100	Chr2D	80423	88053	+	84238	Chr2D	2326263	2333900	-	2330081	1.0	0.999
gene:TraesCS2D03G0000200	Chr2D	89594	93032	-	91313	Chr2D	2321296	2324722	+	2323009	0.995	0.995
gene:TraesCS2D03G0000300	Chr2D	103714	104259	-	103986	Chr2D	2309355	2309900	+	2309627	1.0	1.0
gene:TraesCS2D03G0000400	Chr2D	302821	307159	+	304990	Chr2D	2105019	2109357	-	2107188	1.0	1.0
gene:TraesCS2D03G0000700	Chr2D	324320	325720	+	325020	Chr2D	2086084	2087484	-	2086784	1.0	0.998
gene:TraesCS2D03G0000800	Chr2D	328026	333944	-	330985	Chr2D	2077924	2083842	+	2080883	1.0	1.0
gene:TraesCS2D03G0000900	Chr2D	378562	379694	-	379128	Chr2D	2037577	2038709	+	2038143	1.0	1.0
gene:TraesCS2D03G0001000	Chr2D	392241	395710	+	393975	Chr2D	2021130	2024599	-	2022864	1.0	1.0
gene:TraesCS2D03G0001300	Chr2D	402281	404837	+	403559	Chr2D	2012003	2014559	-	2013281	1.0	1.0
gene:TraesCS2D03G0001400	Chr2D	465877	484345	+	475111	Chr2D	1926396	1949986	-	1938191	1.0	1.0
gene:TraesCS2D03G0001500	Chr2D	512185	513105	+	512645	Chr2D	1896917	1897837	-	1897377	1.0	1.0
gene:TraesCS2D03G0001600	Chr2D	517999	519840	+	518919	Chr2D	1890140	1891981	-	1891060	1.0	0.999
gene:TraesCS2D03G0001800	Chr2D	675239	678446	+	676842	Chr2D	1730383	1733590	-	1731986	1.0	1.0
gene:TraesCS2D03G0001900	Chr2D	679143	683010	-	681076	Chr2D	1725819	1729686	+	1727752	1.0	1.0
gene:TraesCS2D03G0002000	Chr2D	685135	687301	+	686218	Chr2D	1721525	1723694	-	1722609	1.0	1.0
gene:TraesCS2D03G0002400	Chr2D	1649503	1653274	-	1651388	Chr2D	761118	764889	+	763003	1.0	1.0
gene:TraesCS2D03G0002600	Chr2D	1713950	1716334	+	1715142	Chr2D	700850	703234	-	702042	1.0	1.0
gene:TraesCS2D03G0002700	Chr2D	1727399	1735511	+	1731455	Chr2D	681448	689596	-	685522	1.0	1.0
gene:TraesCS2D03G0002800	Chr2D	1746682	1747581	+	1747131	Chr2D	669455	670354	-	669904	1.0	1.0
gene:TraesCS2D03G0003100	Chr2D	1762395	1762988	+	1762691	Chr2D	653378	653971	-	653674	1.0	1.0
gene:TraesCS2D03G0003300	Chr2D	1783898	1784497	+	1784197	Chr2D	631717	632316	-	632016	1.0	1.0
gene:TraesCS2D03G0004000	Chr2D	2035288	2045623	-	2040455	Chr2D	2683994	2694442	-	2689218	1.0	1.0
gene:TraesCS2D03G0004200	Chr2D	2080191	2084496	-	2082343	Chr2D	2729533	2733838	-	2731685	1.0	1.0
gene:TraesCS2D03G0004400	Chr2D	2112411	2114551	+	2113481	Chr2D	2761873	2764013	+	2762943	1.0	0.994
gene:TraesCS2D03G0004700	Chr2D	2134921	2136477	+	2135699	Chr2D	2784385	2785941	+	2785163	1.0	1.0
gene:TraesCS2D03G0004900	Chr2D	2166064	2169473	+	2167768	Chr2D	2815356	2818765	+	2817060	1.0	1.0
gene:TraesCS2D03G0005500	Chr2D	2236212	2236508	+	2236360	Chr2D	2884852	2885148	+	2885000	1.0	1.0
gene:TraesCS2D03G0005600	Chr2D	2258249	2265583	-	2261916	Chr2D	2906889	2914223	-	2910556	1.0	1.0
gene:TraesCS2D03G0005900	Chr2D	2317970	2318269	+	2318119	Chr2D	2966755	2967054	+	2966904	1.0	1.0
gene:TraesCS2D03G0006000	Chr2D	2342608	2342999	+	2342803	Chr2D	2991229	2991620	+	2991424	1.0	1.0
gene:TraesCS2D03G0006100	Chr2D	2357178	2357867	+	2357522	Chr2D	3005397	3006086	+	3005741	1.0	1.0
gene:TraesCS2D03G0006300	Chr2D	2377158	2383178	+	2380168	Chr2D	3024779	3030800	+	3027789	1.0	0.999
gene:TraesCS2D03G0006700	Chr2D	2441659	2447889	-	2444774	Chr2D	3091972	3098158	-	3095065	1.0	0.997
gene:TraesCS2D03G0006900	Chr2D	2460550	2464534	+	2462542	Chr2D	3111081	3115065	+	3113073	1.0	0.995
gene:TraesCS2D03G0007600	Chr2D	2581561	2586301	-	2583931	Chr2D	3184203	3188952	-	3186577	1.0	0.986
