cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr5D	5314754	6015245	Chr5D	1640495	2350116	15	0.9994666666666667
Chr5D	6780466	7633829	Chr5D	7478	869364	11	0.9942727272727274
Chr5D	308305652	321866948	Chr5D	290512919	304171069	87	0.9961494252873564
Chr5D	298647	5128773	Chr5D	2542188	7378436	104	0.9978942307692308
Chr5D	7694130	143714900	Chr5D	10295770	146681974	991	0.9988072653884964
Chr5D	151476064	185711594	Chr5D	154142758	189077249	58	0.9987068965517241
Chr5D	191739975	196532049	Chr5D	192759343	197594093	22	0.9993636363636363
Chr5D	199741740	288592662	Chr5D	200804970	290184485	551	0.9982686025408349
Chr5D	303504127	307653999	Chr5D	304525395	308710693	36	0.996888888888889
Chr5D	322233893	569782173	Chr5D	321746229	569974432	3364	0.9977925089179548
