gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS4A03G0000100	Chr4A	80751	81905	-	81328	Chr4A	3746407	3747561	+	3746984	1.0	0.999	collinear
gene:TraesCS4A03G0000200	Chr4A	186233	189459	+	187846	Chr4A	3638560	3641786	-	3640173	1.0	1.0	collinear
gene:TraesCS4A03G0000300	Chr4A	189629	191253	-	190441	Chr4A	3636765	3638389	+	3637577	1.0	1.0	collinear
gene:TraesCS4A03G0000700	Chr4A	192479	193797	-	193138	Chr4A	3634221	3635539	+	3634880	1.0	1.0	collinear
gene:TraesCS4A03G0000800	Chr4A	204132	208744	+	206438	Chr4A	3619264	3623884	-	3621574	1.0	0.998	collinear
gene:TraesCS4A03G0000900	Chr4A	464377	473615	+	468996	Chr4A	3353054	3362492	-	3357773	1.0	1.0	collinear
gene:TraesCS4A03G0001000	Chr4A	527393	528028	-	527710	Chr4A	3298398	3299033	+	3298715	1.0	1.0	collinear
gene:TraesCS4A03G0001100	Chr4A	724229	730229	-	727229	Chr4A	3096292	3102292	+	3099292	1.0	0.999	collinear
gene:TraesCS4A03G0001300	Chr4A	737645	742881	-	740263	Chr4A	3083642	3088878	+	3086260	1.0	0.999	collinear
gene:TraesCS4A03G0001500	Chr4A	879654	880180	+	879917	Chr4A	2953823	2954349	-	2954086	1.0	1.0	collinear
gene:TraesCS4A03G0001600	Chr4A	890746	894177	+	892461	Chr4A	2939855	2943278	-	2941566	0.997	0.997	collinear
gene:TraesCS4A03G0001700	Chr4A	899296	900070	+	899683	Chr4A	2933463	2934237	-	2933850	1.0	1.0	collinear
gene:TraesCS4A03G0001800	Chr4A	923950	925283	-	924616	Chr4A	2907549	2908882	+	2908215	1.0	1.0	collinear
gene:TraesCS4A03G0001900	Chr4A	1067430	1067825	+	1067627	Chr4A	2761589	2761984	-	2761786	1.0	1.0	collinear
gene:TraesCS4A03G0002000	Chr4A	1144047	1145891	-	1144969	Chr4A	2686452	2688296	+	2687374	1.0	1.0	collinear
