gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity
gene:TraesCS7A03G0044700	Chr7A	9314587	9315742	-	9315164	Chr7A	9961265	9962420	+	9961842	1.0	0.993
gene:TraesCS7A03G0045000	Chr7A	9334923	9336269	+	9335596	Chr7A	9880265	9881464	-	9880864	0.957	0.91
gene:TraesCS7A03G0045500	Chr7A	9406277	9410400	-	9408338	Chr7A	9575525	9579623	+	9577574	0.994	0.983
gene:TraesCS7A03G0045600	Chr7A	9425387	9428390	+	9426888	Chr7A	9556767	9559767	-	9558267	1.0	0.995
gene:TraesCS7A03G0045900	Chr7A	9442572	9449639	-	9446105	Chr7A	9537423	9542591	+	9540007	0.997	0.921
gene:TraesCS7A03G0046100	Chr7A	9520738	9524766	+	9522752	Chr7A	9481338	9484145	-	9482741	0.981	0.976
gene:TraesCS7A03G0046600	Chr7A	9620795	9622824	-	9621809	Chr7A	9395680	9397710	+	9396695	1.0	0.996
gene:TraesCS7A03G0046800	Chr7A	9669894	9670379	-	9670136	Chr7A	9341267	9341721	+	9341494	0.936	0.93
gene:TraesCS7A03G0046900	Chr7A	9773436	9774540	-	9773988	Chr7A	3495922	3497026	+	3496474	1.0	0.99
gene:TraesCS7A03G0047000	Chr7A	9828187	9828844	-	9828515	Chr7A	3474406	3475063	+	3474734	1.0	0.972
gene:TraesCS7A03G0047100	Chr7A	9837698	9845560	+	9841629	Chr7A	3457940	3465791	-	3461865	0.997	0.991
gene:TraesCS7A03G0047300	Chr7A	9873692	9874324	+	9874008	Chr7A	3433039	3433671	-	3433355	1.0	0.99
gene:TraesCS7A03G0047500	Chr7A	9891363	9893043	+	9892203	Chr7A	3404789	3406469	-	3405629	0.987	0.969
gene:TraesCS7A03G0047600	Chr7A	9920525	9922493	+	9921509	Chr7A	3381980	3383837	-	3382908	0.936	0.926
gene:TraesCS7A03G0049700	Chr7A	10189124	10189933	-	10189528	Chr7A	2585188	2585997	-	2585592	1.0	0.991
gene:TraesCS7A03G0049800	Chr7A	10193757	10194669	-	10194213	Chr7A	2590230	2591142	-	2590686	1.0	0.996
gene:TraesCS7A03G0049900	Chr7A	10195282	10201051	-	10198166	Chr7A	2594196	2599960	-	2597078	1.0	0.997
gene:TraesCS7A03G0050000	Chr7A	10223940	10225376	-	10224658	Chr7A	2617599	2618982	-	2618290	0.952	0.931
gene:TraesCS7A03G0050300	Chr7A	10256757	10258745	+	10257751	Chr7A	2652769	2654754	+	2653761	1.0	0.997
gene:TraesCS7A03G0050400	Chr7A	10259322	10261592	+	10260457	Chr7A	2655331	2657592	+	2656461	0.997	0.992
gene:TraesCS7A03G0050500	Chr7A	10261761	10262519	+	10262140	Chr7A	2657761	2658519	+	2658140	1.0	0.994
gene:TraesCS7A03G0051100	Chr7A	10501878	10503003	+	10502440	Chr7A	2867028	2868129	+	2867578	0.978	0.96
gene:TraesCS7A03G0051500	Chr7A	10588165	10588653	+	10588409	Chr7A	2951893	2952379	+	2952136	0.997	0.983
gene:TraesCS7A03G0051600	Chr7A	10595601	10596839	-	10596220	Chr7A	2973420	2974658	-	2974039	1.0	0.993
gene:TraesCS7A03G0051800	Chr7A	10661433	10662455	-	10661944	Chr7A	3144717	3145742	-	3145229	1.0	0.986
gene:TraesCS7A03G0051900	Chr7A	10673549	10674742	-	10674145	Chr7A	3157145	3158338	-	3157741	1.0	0.996
gene:TraesCS7A03G0053100	Chr7A	10856183	10858905	-	10857544	Chr7A	3199076	3201755	-	3200415	0.978	0.925
gene:TraesCS7A03G0053200	Chr7A	10862271	10863675	-	10862973	Chr7A	3216797	3218201	-	3217499	1.0	0.972
gene:TraesCS7A03G0054500	Chr7A	11141504	11147992	-	11144748	Chr7A	2499599	2506183	+	2502891	0.996	0.985
gene:TraesCS7A03G0055500	Chr7A	11377353	11383883	-	11380618	Chr7A	2483349	2489847	+	2486598	0.982	0.952
gene:TraesCS7A03G0055600	Chr7A	11406320	11407464	+	11406892	Chr7A	2420950	2422206	-	2421578	0.992	0.915
gene:TraesCS7A03G0055900	Chr7A	11429656	11434892	-	11432274	Chr7A	2404520	2409836	+	2407178	0.991	0.972
gene:TraesCS7A03G0056100	Chr7A	11501287	11502342	-	11501814	Chr7A	2364307	2365362	+	2364834	1.0	0.995
gene:TraesCS7A03G0068000	Chr7A	14299093	14299583	-	14299338	Chr7A	14401711	14402201	+	14401956	1.0	1.0
gene:TraesCS7A03G0068100	Chr7A	14462840	14463800	-	14463320	Chr7A	14238174	14239134	+	14238654	1.0	1.0
gene:TraesCS7A03G0068200	Chr7A	14470383	14474121	-	14472252	Chr7A	14228558	14231591	+	14230074	0.933	0.933
gene:TraesCS7A03G0068300	Chr7A	14500043	14502820	+	14501431	Chr7A	14198013	14200790	-	14199401	1.0	1.0
gene:TraesCS7A03G0068400	Chr7A	14504479	14506724	+	14505601	Chr7A	14194109	14196354	-	14195231	1.0	0.999
gene:TraesCS7A03G0070100	Chr7A	14877971	14883248	-	14880609	Chr7A	13868479	13873718	+	13871098	0.99	0.985
gene:TraesCS7A03G0070800	Chr7A	15130801	15133613	-	15132207	Chr7A	13625654	13628473	+	13627063	0.999	0.996
gene:TraesCS7A03G0071200	Chr7A	15304593	15306470	+	15305531	Chr7A	13425912	13427790	-	13426851	1.0	0.998
gene:TraesCS7A03G0071300	Chr7A	15307162	15308867	-	15308014	Chr7A	13423515	13425220	+	13424367	1.0	0.998
gene:TraesCS7A03G0071400	Chr7A	15416541	15421598	+	15419069	Chr7A	13310743	13315783	-	13313263	0.995	0.994
gene:TraesCS7A03G0071700	Chr7A	15481455	15483012	+	15482233	Chr7A	13250204	13251761	-	13250982	1.0	1.0
gene:TraesCS7A03G0071800	Chr7A	15497252	15505831	+	15501541	Chr7A	13227385	13235964	-	13231674	1.0	1.0
gene:TraesCS7A03G0071900	Chr7A	15506826	15507974	-	15507400	Chr7A	13225242	13226390	+	13225816	1.0	1.0
gene:TraesCS7A03G0072100	Chr7A	15534564	15535097	-	15534830	Chr7A	13197492	13198025	+	13197758	1.0	1.0
gene:TraesCS7A03G0072200	Chr7A	15580843	15583046	-	15581944	Chr7A	13149339	13151542	+	13150440	1.0	1.0
gene:TraesCS7A03G0072500	Chr7A	15604834	15606875	-	15605854	Chr7A	13125963	13128004	+	13126983	1.0	1.0
gene:TraesCS7A03G0072600	Chr7A	15618337	15619481	+	15618909	Chr7A	13113357	13114501	-	13113929	1.0	1.0
gene:TraesCS7A03G0072700	Chr7A	15691872	15693601	+	15692736	Chr7A	13036864	13038593	-	13037728	1.0	1.0
gene:TraesCS7A03G0072800	Chr7A	15722397	15726530	+	15724463	Chr7A	13004055	13008188	-	13006121	1.0	1.0
gene:TraesCS7A03G0072900	Chr7A	15768328	15769413	+	15768870	Chr7A	12961384	12962469	-	12961926	1.0	1.0
gene:TraesCS7A03G0073000	Chr7A	15771716	15777122	+	15774419	Chr7A	12953675	12959081	-	12956378	1.0	1.0
gene:TraesCS7A03G0073100	Chr7A	15785851	15788765	+	15787308	Chr7A	12942026	12944940	-	12943483	1.0	1.0
gene:TraesCS7A03G0073400	Chr7A	16035402	16037174	-	16036288	Chr7A	14530713	14532485	-	14531599	1.0	1.0
gene:TraesCS7A03G0073500	Chr7A	16044286	16045383	-	16044834	Chr7A	14539546	14540643	-	14540094	1.0	1.0
gene:TraesCS7A03G0074100	Chr7A	16284624	16286740	-	16285682	Chr7A	14780338	14782454	-	14781396	1.0	1.0
gene:TraesCS7A03G0074600	Chr7A	16361313	16362588	-	16361950	Chr7A	14857588	14858863	-	14858225	1.0	1.0
gene:TraesCS7A03G0074700	Chr7A	16374628	16377243	+	16375935	Chr7A	14870701	14873530	+	14872115	0.996	0.996
gene:TraesCS7A03G0074800	Chr7A	16399872	16400723	-	16400297	Chr7A	14896542	14897393	-	14896967	1.0	1.0
gene:TraesCS7A03G0075100	Chr7A	16449599	16450441	-	16450020	Chr7A	14946711	14947553	-	14947132	1.0	1.0
gene:TraesCS7A03G0075200	Chr7A	16454940	16457666	+	16456303	Chr7A	14952133	14954859	+	14953496	1.0	1.0
gene:TraesCS7A03G0075400	Chr7A	16458362	16458889	-	16458625	Chr7A	14955555	14956082	-	14955818	1.0	1.0
gene:TraesCS7A03G0075500	Chr7A	16462566	16463087	-	16462826	Chr7A	14959759	14960280	-	14960019	1.0	1.0
