cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr2B	31439	130983126	Chr2B	34521	128728030	1247	0.9919582999198076
Chr2B	137271666	211003478	Chr2B	129881412	201865491	548	0.9937007299270072
Chr2B	214184446	248272484	Chr2B	202428851	236951037	200	0.994215
Chr2B	250482935	283157104	Chr2B	239439807	272292445	140	0.9960857142857142
Chr2B	285496966	285987877	Chr2B	274637345	275130654	4	0.986
Chr2B	288426514	304609294	Chr2B	277444481	300736365	24	0.9992916666666668
Chr2B	307417042	310240678	Chr2B	302338560	305184091	4	0.99975
Chr2B	318431746	324144212	Chr2B	307366452	315441586	7	0.9947142857142856
Chr2B	328094710	331681179	Chr2B	315998389	319405423	5	1.0
Chr2B	333809245	346552298	Chr2B	321555501	334128917	20	0.9984
Chr2B	348999066	355740303	Chr2B	336607075	343316995	9	1.0
Chr2B	360072831	363706950	Chr2B	346886641	353100988	5	1.0
Chr2B	365734406	802984961	Chr2B	357069626	797222763	3015	0.9935233830845772
Chr2B	811022432	811676025	Chr2B	793952907	794995077	7	0.964
