cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr4D	1633572	141272747	Chr4D	527352	141919862	1361	0.997836149889787
Chr4D	143939177	159173700	Chr4D	144597121	159888507	17	0.994
Chr4D	163710731	183649096	Chr4D	164421467	184359848	26	0.998923076923077
Chr4D	188969484	192971731	Chr4D	190576994	194619713	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	196902844	200470148	7	0.9997142857142858
Chr4D	201663396	212424003	Chr4D	203711382	214747882	27	0.9984444444444444
Chr4D	214566503	218243427	Chr4D	216914974	220621790	8	0.9998750000000001
Chr4D	220559695	228344802	Chr4D	222951992	230722298	14	0.9982142857142857
Chr4D	230503918	238850566	Chr4D	232933188	241287667	11	0.997909090909091
Chr4D	241150325	249170093	Chr4D	243586253	251543775	18	0.9996666666666667
Chr4D	251748223	256746015	Chr4D	254137605	259075828	6	0.9998333333333335
Chr4D	259082246	261473317	Chr4D	261398008	263785228	6	0.9998333333333335
Chr4D	264155329	268258812	Chr4D	266470887	270594534	7	0.9984285714285714
Chr4D	270831155	284417863	Chr4D	273170802	286759771	19	0.9975789473684209
Chr4D	286726699	329466878	Chr4D	289055242	331653571	220	0.9986
Chr4D	331779306	375686787	Chr4D	333927257	378021195	296	0.9985878378378378
Chr4D	377775997	410310201	Chr4D	380085024	412176377	229	0.9982576419213973
Chr4D	412602740	510185437	Chr4D	414428434	514544015	1139	0.997892888498683
