gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS6D03G0000300	Chr6D	43457	44110	-	43783	Chr6D	96286	96939	-	96612	1.0	0.996	collinear
gene:TraesCS6D03G0000400	Chr6D	52444	52899	+	52671	Chr6D	105272	105727	+	105499	1.0	1.0	collinear
gene:TraesCS6D03G0003800	Chr6D	598333	601573	-	599953	Chr6D	205474	208714	-	207094	1.0	0.998	collinear
gene:TraesCS6D03G0004000	Chr6D	674763	675185	-	674974	Chr6D	271739	272161	-	271950	1.0	0.997	collinear
gene:TraesCS6D03G0004600	Chr6D	797280	798536	+	797908	Chr6D	397245	398501	+	397873	1.0	1.0	collinear
gene:TraesCS6D03G0004700	Chr6D	799214	801609	+	800411	Chr6D	399179	401574	+	400376	1.0	1.0	collinear
gene:TraesCS6D03G0005600	Chr6D	959215	959478	+	959346	Chr6D	560820	561083	+	560951	1.0	1.0	collinear
gene:TraesCS6D03G0006800	Chr6D	1364800	1366449	+	1365624	Chr6D	841162	842811	+	841986	1.0	0.999	collinear
gene:TraesCS6D03G0007000	Chr6D	1403764	1407970	-	1405867	Chr6D	880135	884318	-	882226	0.994	0.993	collinear
gene:TraesCS6D03G0007200	Chr6D	1411704	1421963	-	1416833	Chr6D	888052	898028	-	893040	1.0	0.999	collinear
gene:TraesCS6D03G0007300	Chr6D	1436172	1441156	+	1438664	Chr6D	923609	928593	+	926101	1.0	1.0	collinear
gene:TraesCS6D03G0007500	Chr6D	1479620	1482804	+	1481212	Chr6D	967310	970494	+	968902	1.0	0.998	collinear
gene:TraesCS6D03G0007600	Chr6D	1498848	1508542	-	1503695	Chr6D	986772	996468	-	991620	1.0	0.998	collinear
gene:TraesCS6D03G0007800	Chr6D	1529313	1530649	-	1529981	Chr6D	1016430	1017766	-	1017098	1.0	1.0	collinear
gene:TraesCS6D03G0008200	Chr6D	1562254	1562682	-	1562468	Chr6D	1049766	1050194	-	1049980	1.0	0.993	collinear
gene:TraesCS6D03G0008300	Chr6D	1576200	1578916	+	1577558	Chr6D	1064221	1066935	+	1065578	0.999	0.995	collinear
gene:TraesCS6D03G0008600	Chr6D	1617253	1618208	+	1617730	Chr6D	1131459	1132414	+	1131936	1.0	0.992	collinear
gene:TraesCS6D03G0008700	Chr6D	1625389	1626300	+	1625844	Chr6D	1139598	1140509	+	1140053	1.0	0.994	collinear
gene:TraesCS6D03G0008900	Chr6D	1750151	1751236	+	1750693	Chr6D	1250516	1251601	+	1251058	1.0	0.998	collinear
gene:TraesCS6D03G0009000	Chr6D	1759389	1764048	-	1761718	Chr6D	1260141	1264786	-	1262463	0.996	0.994	collinear
gene:TraesCS6D03G0009100	Chr6D	1769252	1772936	+	1771094	Chr6D	1270050	1273718	+	1271884	1.0	0.995	collinear
gene:TraesCS6D03G0009200	Chr6D	1787907	1788841	-	1788374	Chr6D	1288650	1289584	-	1289117	1.0	0.991	collinear
gene:TraesCS6D03G0009700	Chr6D	1889545	1890474	-	1890009	Chr6D	1402151	1403080	-	1402615	1.0	0.994	collinear
gene:TraesCS6D03G0010300	Chr6D	1964939	1967513	+	1966226	Chr6D	1448745	1451303	+	1450024	0.996	0.994	collinear
gene:TraesCS6D03G0010700	Chr6D	2052300	2059460	+	2055880	Chr6D	1470528	1477676	+	1474102	1.0	0.998	collinear
gene:TraesCS6D03G0010900	Chr6D	2081888	2088204	+	2085046	Chr6D	1549047	1554985	+	1552016	0.999	0.98	collinear
gene:TraesCS6D03G0011000	Chr6D	2091320	2092937	-	2092128	Chr6D	1558743	1560359	-	1559551	0.999	0.996	collinear
gene:TraesCS6D03G0011100	Chr6D	2118955	2121958	+	2120456	Chr6D	1586425	1589429	+	1587927	1.0	0.994	collinear
gene:TraesCS6D03G0011300	Chr6D	2151178	2151584	+	2151381	Chr6D	1619111	1619517	+	1619314	1.0	0.997	collinear
gene:TraesCS6D03G0011500	Chr6D	2153707	2155826	+	2154766	Chr6D	1621889	1624008	+	1622948	1.0	0.998	collinear
gene:TraesCS6D03G0011800	Chr6D	2230085	2234438	-	2232261	Chr6D	1694971	1699324	-	1697147	1.0	1.0	collinear
gene:TraesCS6D03G0012000	Chr6D	2248880	2253420	+	2251150	Chr6D	1713832	1718371	+	1716101	1.0	0.999	collinear
