gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity
gene:TraesCS1A03G0000200	Chr1A	40098	70338	-	55218	Chr1A	23429	66252	-	44840	0.999	0.976
gene:TraesCS1A03G0000400	Chr1A	70239	89245	+	79742	Chr1A	66153	85411	+	75782	1.0	0.998
gene:TraesCS1A03G0000600	Chr1A	95906	104903	+	100404	Chr1A	24159	32959	+	28559	1.0	0.963
gene:TraesCS1A03G0000800	Chr1A	102794	122504	+	112649	Chr1A	7782	25898	+	16840	0.999	0.943
gene:TraesCS1A03G0001000	Chr1A	149490	154559	-	152024	Chr1A	146324	151392	-	148858	1.0	0.997
gene:TraesCS1A03G0001200	Chr1A	162313	162609	+	162461	Chr1A	159146	159442	+	159294	1.0	1.0
gene:TraesCS1A03G0001300	Chr1A	169592	169969	-	169780	Chr1A	165947	166324	-	166135	1.0	1.0
gene:TraesCS1A03G0001400	Chr1A	180175	180552	-	180363	Chr1A	176339	176716	-	176527	1.0	0.992
gene:TraesCS1A03G0001500	Chr1A	233818	245051	+	239434	Chr1A	239195	242040	+	240617	0.952	0.951
gene:TraesCS1A03G0001800	Chr1A	270605	272936	-	271770	Chr1A	266896	269227	-	268061	1.0	0.999
gene:TraesCS1A03G0001700	Chr1A	269472	289602	-	279537	Chr1A	265763	285709	-	275736	1.0	0.999
gene:TraesCS1A03G0002100	Chr1A	287697	287957	+	287827	Chr1A	283804	284064	+	283934	1.0	1.0
gene:TraesCS1A03G0002400	Chr1A	297266	297652	+	297459	Chr1A	293381	293767	+	293574	1.0	1.0
gene:TraesCS1A03G0002200	Chr1A	294611	305428	-	300019	Chr1A	248180	258832	+	253506	0.992	0.962
gene:TraesCS1A03G0002800	Chr1A	326099	326518	+	326308	Chr1A	320851	321270	+	321060	1.0	1.0
gene:TraesCS1A03G0002900	Chr1A	337960	338256	+	338108	Chr1A	332539	332835	+	332687	1.0	0.996
gene:TraesCS1A03G0003200	Chr1A	403455	403751	+	403603	Chr1A	395910	396206	+	396058	1.0	1.0
gene:TraesCS1A03G0004000	Chr1A	1142826	1144427	+	1143626	Chr1A	1129014	1130615	+	1129814	1.0	1.0
gene:TraesCS1A03G0004200	Chr1A	1157430	1161066	-	1159248	Chr1A	1144152	1147788	-	1145970	1.0	1.0
gene:TraesCS1A03G0004300	Chr1A	1161721	1166114	-	1163917	Chr1A	1148443	1152836	-	1150639	1.0	1.0
gene:TraesCS1A03G0004400	Chr1A	1168201	1175228	+	1171714	Chr1A	1155042	1162034	+	1158538	0.987	0.987
gene:TraesCS1A03G0004500	Chr1A	1186689	1188709	+	1187699	Chr1A	1173293	1175313	+	1174303	1.0	1.0
gene:TraesCS1A03G0004900	Chr1A	1207566	1210657	-	1209111	Chr1A	1193594	1196685	-	1195139	1.0	1.0
gene:TraesCS1A03G0005000	Chr1A	1226759	1227184	-	1226971	Chr1A	1212546	1212971	-	1212758	1.0	1.0
gene:TraesCS1A03G0005200	Chr1A	1230199	1236314	-	1233256	Chr1A	1215986	1222132	-	1219059	0.999	0.991
gene:TraesCS1A03G0005600	Chr1A	1334686	1346171	-	1340428	Chr1A	1320573	1332065	-	1326319	1.0	1.0
gene:TraesCS1A03G0006700	Chr1A	1570115	1571372	-	1570743	Chr1A	1540893	1542150	-	1541521	1.0	0.996
gene:TraesCS1A03G0007600	Chr1A	1938410	1941394	+	1939902	Chr1A	1838898	1841882	+	1840390	1.0	1.0
gene:TraesCS1A03G0007700	Chr1A	1946022	1947181	+	1946601	Chr1A	1846510	1847697	+	1847103	1.0	0.969
gene:TraesCS1A03G0007800	Chr1A	1946792	1947917	+	1947354	Chr1A	1847308	1848433	+	1847870	1.0	1.0
gene:TraesCS1A03G0007900	Chr1A	1963897	1965450	+	1964673	Chr1A	1864862	1866415	+	1865638	1.0	1.0
gene:TraesCS1A03G0008200	Chr1A	2058764	2060237	-	2059500	Chr1A	1959981	1961454	-	1960717	1.0	1.0
gene:TraesCS1A03G0008100	Chr1A	2058764	2060237	-	2059500	Chr1A	1959981	1961454	-	1960717	1.0	1.0
gene:TraesCS1A03G0008600	Chr1A	2058909	2060171	-	2059540	Chr1A	1960126	1961388	-	1960757	1.0	1.0
gene:TraesCS1A03G0008400	Chr1A	2058909	2060171	-	2059540	Chr1A	1960126	1961388	-	1960757	1.0	1.0
gene:TraesCS1A03G0008500	Chr1A	2058909	2060171	-	2059540	Chr1A	1960126	1961388	-	1960757	1.0	1.0
gene:TraesCS1A03G0008300	Chr1A	2058909	2060171	-	2059540	Chr1A	1960126	1961388	-	1960757	1.0	1.0
gene:TraesCS1A03G0010400	Chr1A	3066928	3068553	-	3067740	Chr1A	5897848	5899473	+	5898660	1.0	1.0
gene:TraesCS1A03G0010900	Chr1A	3089925	3090365	-	3090145	Chr1A	5876069	5876509	+	5876289	1.0	1.0
