cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr6B	315779163	317711029	Chr6B	292092678	293855263	6	0.9985
Chr6B	319319827	322747827	Chr6B	286887219	290446182	8	0.999125
Chr6B	340390557	344916877	Chr6B	317670765	322283984	10	0.9962
Chr6B	352634401	362079304	Chr6B	388229978	397645766	26	0.9980000000000001
Chr6B	367054723	372324770	Chr6B	375646097	381261178	7	0.9978571428571429
Chr6B	304323	109698670	Chr6B	156777	106995698	964	0.9921224066390041
Chr6B	112200748	114854793	Chr6B	109530554	112221479	7	0.9998571428571429
Chr6B	118675045	246426312	Chr6B	114757324	246792676	729	0.9927846364883403
Chr6B	249274084	259111612	Chr6B	249562363	259331178	29	0.9944482758620691
Chr6B	261263057	268713242	Chr6B	261501199	269157060	31	0.9916129032258064
Chr6B	280387366	289129738	Chr6B	269667017	278260296	39	0.9957692307692306
Chr6B	292829101	297214023	Chr6B	282124675	286484113	19	0.9969473684210525
Chr6B	301908638	308701890	Chr6B	299619455	309233063	26	0.9964230769230771
Chr6B	323344757	327439454	Chr6B	312431089	316552049	11	0.9925454545454546
Chr6B	348550830	349949438	Chr6B	339268544	340647701	5	0.993
Chr6B	373340319	378204009	Chr6B	369767761	374656259	9	0.9995555555555556
Chr6B	380913451	382218678	Chr6B	365978232	367251398	3	0.9933333333333333
Chr6B	410641112	432650099	Chr6B	398964836	421006850	54	0.9940185185185185
Chr6B	438515907	449326149	Chr6B	421842184	432434355	49	0.9984489795918368
Chr6B	452819490	486984757	Chr6B	435978562	474079347	171	0.9950584795321638
Chr6B	499757028	508782026	Chr6B	489515808	498297800	42	0.9992619047619048
Chr6B	524252260	629148387	Chr6B	510789829	615891909	632	0.9958465189873418
Chr6B	631157333	635284956	Chr6B	617799512	621847859	32	0.9906874999999999
Chr6B	638657051	731065543	Chr6B	624358175	721077697	880	0.9892875
Chr6B	382866904	387071487	Chr6B	361125814	365303201	6	0.9981666666666666
Chr6B	394428044	395753456	Chr6B	357122054	358461153	16	0.997125
Chr6B	396535864	405619773	Chr6B	343028149	351681684	16	0.990875
Chr6B	487287532	498806667	Chr6B	499159342	510552238	52	0.9950192307692307
Chr6B	509152547	523759415	Chr6B	474492337	489145582	94	0.9990106382978723
