cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr4A	81328	49266497	Chr4A	14832	49432304	547	0.9951261425959782
Chr4A	55351313	62581362	Chr4A	58297637	65743843	58	0.9957241379310344
Chr4A	67883069	75430558	Chr4A	70461054	77992241	57	0.9926491228070176
Chr4A	81244931	130332624	Chr4A	81322789	130573749	282	0.9957659574468084
Chr4A	132517055	179315815	Chr4A	132767787	179817049	228	0.998548245614035
Chr4A	181381957	188354260	Chr4A	182269188	189101001	20	0.9941000000000001
Chr4A	190747437	192330869	Chr4A	191126599	192655323	5	0.9975999999999999
Chr4A	195074963	219652885	Chr4A	195393094	219312966	41	0.9920487804878049
Chr4A	221731546	222175913	Chr4A	221429509	221865858	3	0.9983333333333334
Chr4A	224910983	226677182	Chr4A	224595119	226143424	4	0.997
Chr4A	229114346	239587523	Chr4A	228241595	239111240	16	0.995125
Chr4A	242061522	242431315	Chr4A	241450023	241823380	3	0.9953333333333334
Chr4A	278319558	283056090	Chr4A	280574576	284840094	5	0.9984
Chr4A	317950774	325344223	Chr4A	318493293	328226147	52	0.9908846153846154
Chr4A	337968373	341647675	Chr4A	335664307	339467074	6	0.9966666666666667
Chr4A	344151945	349413639	Chr4A	345381600	350493884	12	0.9940833333333332
Chr4A	361169426	364704441	Chr4A	355461452	358965724	5	0.9958
Chr4A	373809092	375862993	Chr4A	369738594	371781668	3	0.9980000000000001
Chr4A	378164412	386206032	Chr4A	376178275	385501319	10	0.9953
Chr4A	388345576	389986218	Chr4A	387756411	389386857	3	0.9973333333333333
Chr4A	394095303	397542408	Chr4A	393404998	396572007	6	0.9958333333333332
Chr4A	399782828	400323386	Chr4A	398848594	399378159	3	0.9893333333333333
Chr4A	406605144	419576751	Chr4A	405698890	418482640	17	0.991235294117647
Chr4A	421807811	507495678	Chr4A	420711066	506143694	410	0.9968756097560977
Chr4A	509609425	641040255	Chr4A	508316325	641726521	1444	0.9963670360110802
Chr4A	663140340	670712724	Chr4A	659027151	666366678	89	0.9970561797752809
Chr4A	688562054	753080191	Chr4A	687421362	743787362	609	0.992369458128079
