cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr7D	210218	17664459	Chr7D	421031	19017091	291	0.9957663230240551
Chr7D	17760968	277735513	Chr7D	19180943	288205003	2382	0.9989974811083123
Chr7D	282874482	285683864	Chr7D	293384960	296230980	5	0.9865999999999999
Chr7D	287902401	307163278	Chr7D	298423073	320496518	41	0.9990975609756098
Chr7D	309504249	313709460	Chr7D	322828226	327002808	11	0.999909090909091
Chr7D	318812712	321972400	Chr7D	329172365	332327869	5	0.9998000000000001
Chr7D	324339077	340299388	Chr7D	334671453	350485523	19	0.9996842105263157
Chr7D	342405820	629948882	Chr7D	352545890	648516631	2395	0.9988822546972862
Chr7D	632398845	636319362	Chr7D	649353504	653328397	80	0.9993874999999999
Chr7D	631685822	632362143	Chr7D	653403385	654074908	24	0.9995833333333334
