cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr2A	254112	240818173	Chr2A	257800	244699641	2129	0.9959929544387036
Chr2A	249151448	252091236	Chr2A	252989449	255882066	6	0.9996666666666667
Chr2A	255910505	258353437	Chr2A	259668569	262113548	8	0.9998750000000001
Chr2A	260548731	262579565	Chr2A	264290543	266304151	7	0.9997142857142858
Chr2A	265274570	273294992	Chr2A	268954183	277390361	16	0.9991875
Chr2A	275352399	281746218	Chr2A	279418341	285773149	23	0.9998260869565219
Chr2A	283944564	286439768	Chr2A	287940977	290424378	5	0.999
Chr2A	305386863	306682759	Chr2A	313696486	314999290	3	0.9996666666666667
Chr2A	330397956	334887901	Chr2A	335579718	339999084	9	0.9993333333333333
Chr2A	340608829	341927845	Chr2A	347112301	349085650	3	1.0
Chr2A	349224718	353475914	Chr2A	355031275	359312246	10	0.9992000000000001
Chr2A	364470917	366383663	Chr2A	367632982	369525977	5	1.0
Chr2A	369202998	395710262	Chr2A	375932038	401990872	92	0.9976739130434783
Chr2A	398464297	398971793	Chr2A	406484024	406962117	4	0.99525
Chr2A	405468040	486499474	Chr2A	411704559	492696889	269	0.996743494423792
Chr2A	488847564	547776466	Chr2A	495004904	553589539	315	0.9967650793650793
Chr2A	562982979	567735681	Chr2A	570055399	574813760	34	0.9984117647058826
Chr2A	582840575	761027623	Chr2A	588573908	770158653	1979	0.9965320869125822
Chr2A	770010489	774431954	Chr2A	778347610	782918338	60	0.9981833333333333
