gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS4B02G000300	Chr4B	233604	235207	-	234405	Chr4B	258603	260169	-	259386	0.958	0.921	collinear
gene:TraesCS4B02G000400	Chr4B	235554	237151	-	236352	Chr4B	260516	262113	-	261314	1.0	0.997	collinear
gene:TraesCS4B02G000500	Chr4B	536859	540040	-	538449	Chr4B	1425005	1428187	+	1426596	1.0	0.999	collinear
gene:TraesCS4B02G000600	Chr4B	556850	559568	-	558209	Chr4B	1405477	1408195	+	1406836	1.0	1.0	collinear
gene:TraesCS4B02G000700	Chr4B	593305	593700	+	593502	Chr4B	1371581	1371976	-	1371778	1.0	1.0	collinear
gene:TraesCS4B02G000800	Chr4B	606792	608698	-	607745	Chr4B	1356584	1358490	+	1357537	1.0	1.0	collinear
gene:TraesCS4B02G000900	Chr4B	621192	623232	-	622212	Chr4B	1342291	1344331	+	1343311	1.0	0.999	collinear
gene:TraesCS4B02G001000	Chr4B	639894	640937	-	640415	Chr4B	1324584	1325627	+	1325105	1.0	1.0	collinear
gene:TraesCS4B02G001100	Chr4B	652667	654439	-	653553	Chr4B	1311306	1313076	+	1312191	0.998	0.998	collinear
gene:TraesCS4B02G001200	Chr4B	804929	806039	-	805484	Chr4B	1164628	1165738	+	1165183	1.0	1.0	collinear
gene:TraesCS4B02G001300	Chr4B	807708	809435	+	808571	Chr4B	1161231	1162959	-	1162095	0.997	0.996	collinear
gene:TraesCS4B02G001400	Chr4B	811058	811978	-	811518	Chr4B	1158763	1159683	+	1159223	1.0	0.996	collinear
gene:TraesCS4B02G001500	Chr4B	824217	826230	-	825223	Chr4B	1144928	1146893	+	1145910	0.975	0.973	collinear
gene:TraesCS4B02G001600	Chr4B	1046619	1049898	-	1048258	Chr4B	945065	948346	+	946705	1.0	0.994	collinear
gene:TraesCS4B02G001700	Chr4B	1055642	1057009	+	1056325	Chr4B	929542	930915	-	930228	1.0	0.966	collinear
gene:TraesCS4B02G001800	Chr4B	1055540	1057158	-	1056349	Chr4B	929393	931017	+	930205	1.0	0.972	collinear
gene:TraesCS4B02G001900	Chr4B	1080301	1080693	-	1080497	Chr4B	905934	906323	+	906128	0.992	0.966	collinear
gene:TraesCS4B02G002000	Chr4B	1101906	1102898	+	1102402	Chr4B	884103	885119	-	884611	1.0	0.974	collinear
gene:TraesCS4B02G002100	Chr4B	1135933	1136559	+	1136246	Chr4B	852186	852812	-	852499	1.0	0.992	collinear
gene:TraesCS4B02G002200	Chr4B	1198805	1199422	-	1199113	Chr4B	802181	802810	+	802495	1.0	0.973	collinear
gene:TraesCS4B02G002300	Chr4B	1243148	1246366	-	1244757	Chr4B	767814	771048	+	769431	0.999	0.989	collinear
gene:TraesCS4B02G002400	Chr4B	1257749	1263057	+	1260403	Chr4B	751670	757010	-	754340	1.0	0.986	collinear
