cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr6A	289544	162912229	Chr6A	192060	164159323	1517	0.995430454845089
Chr6A	166503285	172174207	Chr6A	167700748	173351489	30	0.9994666666666667
Chr6A	174450789	233957452	Chr6A	175608866	234681479	206	0.999106796116505
Chr6A	241266065	242194840	Chr6A	241916076	242832371	3	1.0
Chr6A	248542355	252837117	Chr6A	249250688	253510280	8	1.0
Chr6A	254937051	261705155	Chr6A	255716506	262462207	21	0.9993333333333334
Chr6A	263891514	273262995	Chr6A	264631231	274137022	22	0.9984999999999999
Chr6A	276303162	290261504	Chr6A	277844348	293757621	20	0.9998000000000001
Chr6A	297918322	317154843	Chr6A	300342633	319390004	21	0.9997619047619049
Chr6A	321270304	324290097	Chr6A	323463084	326430336	8	0.9995
Chr6A	326393120	330049812	Chr6A	328512105	332160893	6	1.0
Chr6A	332183472	344185082	Chr6A	334284874	346205461	16	0.9955
Chr6A	346572929	346594380	Chr6A	348579389	348600840	3	1.0
Chr6A	351830716	353340072	Chr6A	353923580	355425729	4	0.999
Chr6A	355403353	526163009	Chr6A	357477865	527380440	863	0.998734646581692
Chr6A	528582629	617932046	Chr6A	529776896	622151222	1165	0.9956789699570815
