cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr1A	55218	159522669	Chr1A	27794	161465831	1179	0.9965131467345208
Chr1A	161671479	177484497	Chr1A	163636723	179379465	31	0.9994193548387098
Chr1A	179530042	182122609	Chr1A	181476199	184050394	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	186840309	195424810	12	0.99975
Chr1A	200578799	202086777	Chr1A	202599865	204089072	5	1.0
Chr1A	204319371	209358469	Chr1A	206308056	211291412	7	0.9998571428571429
Chr1A	212017564	410154980	Chr1A	213800583	416887535	918	0.9964978213507625
Chr1A	412459137	420515127	Chr1A	419258563	427963986	23	0.9965652173913043
Chr1A	423163477	547507742	Chr1A	429773258	553353918	1234	0.995276337115073
Chr1A	557425263	562118438	Chr1A	564812789	569601926	67	0.994044776119403
Chr1A	571987978	593997588	Chr1A	580014715	602768325	316	0.9948892405063291
