cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr3D	328640	21005427	Chr3D	1515370	24110520	399	0.9914711779448623
Chr3D	299594493	309945457	Chr3D	334009976	344304071	84	0.9998214285714287
Chr3D	316562161	324312558	Chr3D	319724448	327428803	31	0.9998064516129033
Chr3D	21204309	116408326	Chr3D	28232875	135240435	970	0.9994835051546392
Chr3D	118542402	193596645	Chr3D	137370337	213118708	417	0.9993621103117507
Chr3D	196947044	200390459	Chr3D	216478079	219897661	5	0.9998000000000001
Chr3D	202614073	202651143	Chr3D	222414023	222450073	4	1.0
Chr3D	206979095	213997235	Chr3D	226747097	233701209	11	0.9990000000000001
Chr3D	216425033	219568689	Chr3D	236102641	239215160	6	1.0
Chr3D	225525420	232470513	Chr3D	245362792	252265014	13	0.9995384615384615
Chr3D	234603090	244292283	Chr3D	254379157	265108362	13	1.0
Chr3D	246327705	257173258	Chr3D	265953578	277951313	29	0.9999310344827587
Chr3D	259434941	298593191	Chr3D	280195127	319132880	140	0.9986285714285714
Chr3D	310001277	316169021	Chr3D	327827233	333954699	32	0.9999687500000001
Chr3D	324387385	492131921	Chr3D	344987127	511629336	1385	0.9992469314079423
Chr3D	494653889	615474754	Chr3D	514595141	637498858	1605	0.9977968847352024
