cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr6B	168584	103962989	Chr6B	2653722	110242184	1010	0.9935970297029701
Chr6B	106468710	109142658	Chr6B	112752243	115414804	7	0.9997142857142858
Chr6B	111691197	153312361	Chr6B	119084743	160472378	302	0.9930364238410596
Chr6B	155551320	240401733	Chr6B	161508713	248514216	457	0.9956652078774617
Chr6B	243269422	250132421	Chr6B	251483371	257955851	22	0.9947727272727274
Chr6B	257994059	258234767	Chr6B	263305059	263523952	3	0.997
Chr6B	306799030	313158239	Chr6B	313070945	324726236	16	0.9984375000000001
Chr6B	319531354	321293096	Chr6B	326948931	328874193	9	0.9976666666666668
Chr6B	341712366	343111521	Chr6B	355063377	356381503	5	0.9969999999999999
Chr6B	371611328	374970725	Chr6B	383249146	386665225	5	0.9986
Chr6B	402215985	424306904	Chr6B	418470313	440279094	56	0.9954821428571429
Chr6B	430193107	441049080	Chr6B	441102988	453648763	51	0.9986470588235296
Chr6B	444540716	479000671	Chr6B	457127832	495521529	175	0.9955771428571428
Chr6B	496413854	500211586	Chr6B	511462591	516456867	17	0.9995882352941178
Chr6B	516078619	525313978	Chr6B	534534290	543744246	54	0.9954444444444442
Chr6B	529774573	620708761	Chr6B	551762468	641238765	553	0.9976708860759493
Chr6B	622726250	626889431	Chr6B	643169027	647199665	34	0.9935
Chr6B	630465748	720953306	Chr6B	649698181	744307207	945	0.9903936507936508
Chr6B	479080248	495810818	Chr6B	517050944	534228922	74	0.9936621621621622
Chr6B	500227428	515582492	Chr6B	496278137	511446750	97	0.9990515463917524
Chr6B	525555703	531011556	Chr6B	547728474	553143702	35	0.9943142857142858
