gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS2B02G000100	Chr2B	9843	11553	-	10698	Chr2B	4323136	4324857	-	4323996	1.0	0.99	collinear
gene:TraesCS2B02G000200	Chr2B	19907	22569	+	21238	Chr2B	4365632	4368644	+	4367138	1.0	0.983	collinear
gene:TraesCS2B02G000300	Chr2B	45037	61255	-	53146	Chr2B	4387767	4398453	-	4393110	0.972	0.965	collinear
gene:TraesCS2B02G000400	Chr2B	63870	65572	+	64721	Chr2B	5831487	5833165	-	5832326	0.977	0.906	collinear
gene:TraesCS2B02G000500	Chr2B	91679	92119	+	91899	Chr2B	4432601	4433041	+	4432821	1.0	1.0	collinear
gene:TraesCS2B02G000800	Chr2B	432358	433095	+	432726	Chr2B	4137132	4137869	-	4137500	1.0	0.991	collinear
gene:TraesCS2B02G000900	Chr2B	447781	453531	-	450656	Chr2B	4117171	4122646	+	4119908	0.999	0.996	collinear
gene:TraesCS2B02G001000	Chr2B	470641	473097	+	471869	Chr2B	4097535	4099991	-	4098763	1.0	0.998	collinear
gene:TraesCS2B02G001100	Chr2B	477194	478878	+	478036	Chr2B	4091755	4093436	-	4092595	0.998	0.994	collinear
gene:TraesCS2B02G001200	Chr2B	632838	633239	+	633038	Chr2B	3907705	3908107	-	3907906	1.0	1.0	collinear
gene:TraesCS2B02G001300	Chr2B	810865	811158	-	811011	Chr2B	3731367	3731660	+	3731513	1.0	1.0	collinear
gene:TraesCS2B02G001400	Chr2B	1171680	1174401	+	1173040	Chr2B	9938583	9941304	+	9939943	1.0	0.995	collinear
gene:TraesCS2B02G001500	Chr2B	1181154	1181702	+	1181428	Chr2B	9948140	9948688	+	9948414	1.0	0.985	collinear
gene:TraesCS2B02G001600	Chr2B	1248784	1252232	+	1250508	Chr2B	9997129	10000583	+	9998856	1.0	0.981	collinear
gene:TraesCS2B02G001900	Chr2B	1314696	1317994	-	1316345	Chr2B	11941060	11943716	+	11942388	0.996	0.996	collinear
gene:TraesCS2B02G002000	Chr2B	1329861	1331574	+	1330717	Chr2B	11926033	11927746	-	11926889	1.0	1.0	collinear
gene:TraesCS2B02G002100	Chr2B	1348871	1362213	+	1355542	Chr2B	11896186	11909215	-	11902700	1.0	1.0	collinear
gene:TraesCS2B02G002600	Chr2B	1600469	1601449	-	1600959	Chr2B	11716273	11717256	+	11716764	1.0	0.968	collinear
gene:TraesCS2B02G002700	Chr2B	1706362	1707167	+	1706764	Chr2B	11481277	11482082	-	11481679	1.0	0.988	collinear
gene:TraesCS2B02G002800	Chr2B	1749669	1750706	+	1750187	Chr2B	11364659	11365696	-	11365177	1.0	0.992	collinear
gene:TraesCS2B02G002900	Chr2B	1752952	1755256	+	1754104	Chr2B	11360174	11362478	-	11361326	1.0	0.991	collinear
gene:TraesCS2B02G003300	Chr2B	1773308	1774960	-	1774134	Chr2B	11355739	11357389	+	11356564	0.998	0.992	collinear
gene:TraesCS2B02G003400	Chr2B	1792604	1794942	+	1793773	Chr2B	11336204	11338542	-	11337373	1.0	1.0	collinear
gene:TraesCS2B02G003500	Chr2B	1798618	1800227	-	1799422	Chr2B	11330921	11332530	+	11331725	1.0	0.952	collinear
gene:TraesCS2B02G003600	Chr2B	1831881	1833776	+	1832828	Chr2B	11326999	11328909	+	11327954	1.0	0.962	collinear
gene:TraesCS2B02G003900	Chr2B	2107170	2108718	+	2107944	Chr2B	11259669	11261218	-	11260443	1.0	0.994	collinear
gene:TraesCS2B02G004000	Chr2B	2109410	2113388	-	2111399	Chr2B	11254991	11258977	+	11256984	1.0	0.999	collinear
gene:TraesCS2B02G004100	Chr2B	2116046	2116633	+	2116339	Chr2B	11251697	11252284	-	11251990	1.0	0.952	collinear
gene:TraesCS2B02G004300	Chr2B	2335787	2336388	+	2336087	Chr2B	11065373	11065974	-	11065673	1.0	0.995	collinear
gene:TraesCS2B02G004400	Chr2B	2344368	2347989	-	2346178	Chr2B	11023554	11027489	+	11025521	0.985	0.934	collinear
gene:TraesCS2B02G004500	Chr2B	2404235	2407537	-	2405886	Chr2B	10967595	10970910	+	10969252	1.0	0.997	collinear
gene:TraesCS2B02G004600	Chr2B	2501390	2503974	-	2502682	Chr2B	11142767	11145360	-	11144063	0.994	0.972	collinear
gene:TraesCS2B02G004800	Chr2B	2566039	2566626	-	2566332	Chr2B	10809145	10809731	+	10809438	0.998	0.952	collinear
gene:TraesCS2B02G004900	Chr2B	2639862	2643225	-	2641543	Chr2B	10757644	10761009	+	10759326	1.0	0.995	collinear
gene:TraesCS2B02G005000	Chr2B	3288581	3293090	+	3290835	Chr2B	10162604	10167124	-	10164864	0.999	0.978	collinear
gene:TraesCS2B02G005100	Chr2B	3299928	3306836	-	3303382	Chr2B	10147641	10154344	+	10150992	1.0	0.997	collinear
gene:TraesCS2B02G005200	Chr2B	3307435	3312813	-	3310124	Chr2B	10141940	10147212	+	10144576	0.985	0.968	collinear
gene:TraesCS2B02G005800	Chr2B	3772263	3773975	-	3773119	Chr2B	12076633	12078345	-	12077489	1.0	1.0	collinear
gene:TraesCS2B02G005900	Chr2B	3787544	3790240	+	3788892	Chr2B	12091551	12094247	+	12092899	1.0	1.0	collinear
