cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr7A	146678066	157229950	Chr7A	166002004	177146330	78	0.9954358974358973
Chr7A	161991914	171949346	Chr7A	150221734	160480720	94	0.9952765957446806
Chr7A	211205518	211732393	Chr7A	164255331	164819306	16	0.9895625
Chr7A	239629	71670370	Chr7A	243831	73433954	871	0.9913765786452354
Chr7A	73730871	146026136	Chr7A	76388339	149518341	691	0.9966280752532561
Chr7A	157400932	161738248	Chr7A	160777939	165829866	14	0.9933571428571428
Chr7A	171535728	311914665	Chr7A	177597061	317266615	686	0.9977886297376093
Chr7A	314415263	356369547	Chr7A	319752098	362163489	81	0.9985925925925926
Chr7A	359051136	360613751	Chr7A	364790023	366326702	3	0.999
Chr7A	362739671	388772773	Chr7A	370417759	397426747	38	0.999421052631579
Chr7A	391904207	732157240	Chr7A	400547528	748993421	2467	0.9964612890149978
Chr7A	736457635	736698014	Chr7A	753267030	753502110	11	0.993
Chr7A	732352933	735412615	Chr7A	749448126	753088540	42	0.9866904761904761
Chr7A	735783651	736436128	Chr7A	753523604	753944217	18	0.9994999999999999
