cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr3A	43283	128718501	Chr3A	613777	138875319	1336	0.9955950598802396
Chr3A	130835529	181088605	Chr3A	140974200	190857925	215	0.9985813953488372
Chr3A	184214632	251342423	Chr3A	193961485	261659936	205	0.9995365853658538
Chr3A	259064196	267056348	Chr3A	269247612	277360910	12	0.9976666666666668
Chr3A	269215500	273159995	Chr3A	279528545	283436041	6	0.9998333333333335
Chr3A	275284207	283103162	Chr3A	285560830	293309686	7	0.9998571428571428
Chr3A	288539387	293589663	Chr3A	299390192	304409192	6	0.989
Chr3A	295949198	314620161	Chr3A	306748588	325213040	24	0.9997083333333334
Chr3A	321109384	337881732	Chr3A	334174366	351370463	30	0.9995666666666667
Chr3A	340259729	343231466	Chr3A	353769448	356703325	8	0.99625
Chr3A	345871376	349014829	Chr3A	359336934	362459479	6	0.9998333333333335
Chr3A	351126951	528599904	Chr3A	364564387	541453018	869	0.9984085155350978
Chr3A	534324399	545153837	Chr3A	541575864	552599374	66	0.9944545454545455
Chr3A	556260652	750618114	Chr3A	558706692	758296175	2094	0.996593600764088
Chr3A	529107092	533129337	Chr3A	553812754	557688117	42	0.9933809523809524
Chr3A	545257989	547981226	Chr3A	106979796	109713199	30	0.9985666666666667
Chr3A	549266231	555697701	Chr3A	110982746	117269874	47	0.9953191489361702
