cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	229761	143110215	1432	0.9989783519553072
Chr4D	143579930	155648423	Chr4D	145760562	157759471	16	0.9995
Chr4D	163412513	183387226	Chr4D	165544254	186002664	26	0.9998846153846154
Chr4D	188710899	192736636	Chr4D	192964041	196995191	6	0.9996666666666666
Chr4D	195017915	198583229	Chr4D	199263786	202803262	7	0.9997142857142858
Chr4D	201443437	212157624	Chr4D	206067046	219219953	27	0.9994074074074075
Chr4D	214312396	228145178	Chr4D	221350465	235103311	23	0.9998260869565219
Chr4D	230482531	238626311	Chr4D	237298169	245609357	11	0.9995454545454546
Chr4D	240933419	248933627	Chr4D	247899490	256744127	19	0.999421052631579
Chr4D	251524682	256552996	Chr4D	259314470	264308214	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	266629212	269026467	6	0.9996666666666667
Chr4D	263946972	268074619	Chr4D	271699955	275783801	7	0.998142857142857
Chr4D	270654719	329311457	Chr4D	278344011	337117807	243	0.9989341563786007
Chr4D	331638064	375735889	Chr4D	339422864	383464962	303	0.9996204620462046
Chr4D	377828182	409645524	Chr4D	385589857	419909725	236	0.9992372881355932
Chr4D	412715801	509853899	Chr4D	423464665	524440642	1162	0.9991626506024097
