cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr5A	693435	60528080	Chr5A	3919999	66095987	530	0.994611320754717
Chr5A	63377052	151734470	Chr5A	68946434	156990652	397	0.9966372795969772
Chr5A	155555039	159534199	Chr5A	160840898	164974856	13	0.9996923076923075
Chr5A	161914114	180994113	Chr5A	167325810	186374268	37	0.9997297297297297
Chr5A	183430057	185651119	Chr5A	188789671	190989713	4	1.0
Chr5A	191038029	199222973	Chr5A	196295810	204399754	16	0.998875
Chr5A	203479442	222599127	Chr5A	208658661	227821997	33	0.9999090909090909
Chr5A	224689467	237370335	Chr5A	229896542	243186130	28	0.9998571428571429
Chr5A	245959193	248536470	Chr5A	249818636	255503106	7	1.0
Chr5A	258775970	388640539	Chr5A	264463281	393439614	638	0.9989764890282133
Chr5A	393473787	398411465	Chr5A	397686638	402520004	52	0.9981923076923077
Chr5A	402540994	423746112	Chr5A	407197826	428094521	111	0.9961261261261262
Chr5A	426537435	709675600	Chr5A	429326095	716009996	3274	0.9964780085522297
