gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS6A02G000400	Chr6A	288059	291030	+	289544	Chr6A	190635	193485	-	192060	0.981	0.932	collinear
gene:TraesCS6A02G000600	Chr6A	610042	615530	+	612786	Chr6A	2552820	2558506	-	2555663	1.0	0.986	collinear
gene:TraesCS6A02G000700	Chr6A	616773	620979	-	618876	Chr6A	2547563	2551778	+	2549670	1.0	0.993	collinear
gene:TraesCS6A02G000800	Chr6A	629428	634290	+	631859	Chr6A	2515961	2520648	-	2518304	0.951	0.946	collinear
gene:TraesCS6A02G000900	Chr6A	634738	636233	+	635485	Chr6A	2513953	2515497	-	2514725	1.0	0.991	collinear
gene:TraesCS6A02G001000	Chr6A	637025	639371	+	638198	Chr6A	2510880	2513167	-	2512023	0.956	0.929	collinear
gene:TraesCS6A02G001100	Chr6A	637766	644465	-	641115	Chr6A	2505669	2512485	+	2509077	0.994	0.984	collinear
gene:TraesCS6A02G001200	Chr6A	734214	735473	-	734843	Chr6A	2416911	2417810	+	2417360	0.996	0.995	collinear
gene:TraesCS6A02G001300	Chr6A	766648	769202	+	767925	Chr6A	2383318	2385872	-	2384595	1.0	1.0	collinear
gene:TraesCS6A02G001400	Chr6A	771942	774641	-	773291	Chr6A	2377646	2380578	+	2379112	1.0	0.999	collinear
gene:TraesCS6A02G001500	Chr6A	786731	788315	+	787523	Chr6A	2364475	2366059	-	2365267	1.0	1.0	collinear
gene:TraesCS6A02G001600	Chr6A	795316	801602	-	798459	Chr6A	2351189	2357475	+	2354332	1.0	0.999	collinear
gene:TraesCS6A02G001700	Chr6A	811604	816032	+	813818	Chr6A	2337212	2341663	-	2339437	1.0	1.0	collinear
gene:TraesCS6A02G001800	Chr6A	818204	825117	-	821660	Chr6A	2312893	2319376	+	2316134	0.956	0.956	collinear
gene:TraesCS6A02G001900	Chr6A	860722	867161	-	863941	Chr6A	2269480	2275919	+	2272699	1.0	0.999	collinear
gene:TraesCS6A02G002000	Chr6A	914925	915899	-	915412	Chr6A	2220731	2221705	+	2221218	1.0	1.0	collinear
gene:TraesCS6A02G002100	Chr6A	917908	918405	+	918156	Chr6A	2218225	2218722	-	2218473	1.0	1.0	collinear
gene:TraesCS6A02G002200	Chr6A	925885	926272	-	926078	Chr6A	2210419	2210806	+	2210612	1.0	1.0	collinear
gene:TraesCS6A02G002300	Chr6A	932264	933310	+	932787	Chr6A	2203381	2204427	-	2203904	1.0	1.0	collinear
gene:TraesCS6A02G002400	Chr6A	942509	947206	-	944857	Chr6A	2189732	2194441	+	2192086	1.0	1.0	collinear
gene:TraesCS6A02G002500	Chr6A	955213	960217	+	957715	Chr6A	2177106	2181466	-	2179286	0.912	0.912	collinear
gene:TraesCS6A02G002600	Chr6A	967860	968797	-	968328	Chr6A	2168773	2169710	+	2169241	1.0	1.0	collinear
