gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS7A02G189300	Chr7A	146677500	146678632	+	146678066	Chr7A	177145765	177146896	-	177146330	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G189400	Chr7A	146676886	146680544	-	146678715	Chr7A	177143861	177147510	+	177145685	0.997	0.994	rearrangement:Chr7A_block2
gene:TraesCS7A02G189500	Chr7A	146907954	146910101	+	146909027	Chr7A	176928139	176930285	-	176929212	0.999	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G189600	Chr7A	146949436	146951975	+	146950705	Chr7A	176886275	176888814	-	176887544	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G189700	Chr7A	146975579	146977637	-	146976608	Chr7A	176868305	176870365	+	176869335	1.0	0.996	rearrangement:Chr7A_block2
gene:TraesCS7A02G189900	Chr7A	147068788	147071706	-	147070247	Chr7A	176771219	176774137	+	176772678	1.0	0.995	rearrangement:Chr7A_block2
gene:TraesCS7A02G190000	Chr7A	147910498	147912714	+	147911606	Chr7A	175857624	175859840	-	175858732	1.0	1.0	rearrangement:Chr7A_block2
gene:TraesCS7A02G190100	Chr7A	147918707	147920065	-	147919386	Chr7A	175850244	175851605	+	175850924	1.0	0.99	rearrangement:Chr7A_block2
gene:TraesCS7A02G190200	Chr7A	147921887	147924552	-	147923219	Chr7A	175845645	175848391	+	175847018	0.999	0.997	rearrangement:Chr7A_block2
gene:TraesCS7A02G190300	Chr7A	147925922	147937465	-	147931693	Chr7A	175832693	175844238	+	175838465	0.997	0.994	rearrangement:Chr7A_block2
gene:TraesCS7A02G190400	Chr7A	148375327	148376172	+	148375749	Chr7A	175432059	175432904	-	175432481	1.0	0.988	rearrangement:Chr7A_block2
gene:TraesCS7A02G190500	Chr7A	148392769	148399775	+	148396272	Chr7A	175408443	175415451	-	175411947	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G190600	Chr7A	148414887	148418041	+	148416464	Chr7A	175385234	175388388	-	175386811	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G190700	Chr7A	148480258	148494419	-	148487338	Chr7A	175308938	175322923	+	175315930	1.0	0.998	rearrangement:Chr7A_block2
gene:TraesCS7A02G190800	Chr7A	148656416	148658383	+	148657399	Chr7A	175144773	175146740	-	175145756	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G190900	Chr7A	148807635	148809759	+	148808697	Chr7A	174995164	174997318	-	174996241	1.0	0.999	rearrangement:Chr7A_block2
gene:TraesCS7A02G191000	Chr7A	148832126	148832719	-	148832422	Chr7A	174972485	174973078	+	174972781	1.0	0.998	rearrangement:Chr7A_block2
