cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr7B	155467825	169470795	Chr7B	169389145	183306168	77	0.99787012987013
Chr7B	171985598	278933515	Chr7B	185755235	293134923	409	0.9982885085574572
Chr7B	281386105	295082068	Chr7B	295553928	310140920	21	0.9991904761904762
Chr7B	297390309	307364806	Chr7B	318116149	327898432	19	0.9997894736842107
Chr7B	312814982	340640628	Chr7B	158677176	368826885	98	0.9989897959183673
Chr7B	344312834	346676193	Chr7B	356641929	358994559	5	0.999
Chr7B	34838	154814815	Chr7B	37880	158181192	1195	0.9955715481171549
Chr7B	310413787	312442469	Chr7B	315381985	317258004	5	0.9998000000000001
Chr7B	337929275	339223535	Chr7B	343271579	344476324	3	1.0
Chr7B	347979925	389109218	Chr7B	346195995	394305993	145	0.9989586206896551
Chr7B	391956637	405970176	Chr7B	397170758	410557070	51	0.9995098039215686
Chr7B	408568404	419042240	Chr7B	413132719	423687567	45	0.9994222222222221
Chr7B	421064524	541167218	Chr7B	425669030	546998705	781	0.9989526248399488
Chr7B	543188151	719120281	Chr7B	548994643	730248989	1344	0.9943645833333333
Chr7B	749407764	750604265	Chr7B	759624625	761457963	16	0.9646874999999999
