cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr2B	6179410	9105360	Chr2B	5350960	8371512	41	0.975951219512195
Chr2B	9724934	11086037	Chr2B	2596188	3428843	19	0.9728947368421053
Chr2B	361424474	368413783	Chr2B	376920798	383839184	20	0.99975
Chr2B	375133991	379787029	Chr2B	257379621	262006744	15	0.9999333333333333
Chr2B	10698	6132994	Chr2B	3731513	13297907	84	0.9844642857142858
Chr2B	11180525	123101136	Chr2B	13379482	133430776	1123	0.9933846838824576
Chr2B	129392470	202920401	Chr2B	134589150	206491310	555	0.9954162162162162
Chr2B	205644786	240314058	Chr2B	206590362	241295170	204	0.9974264705882354
Chr2B	242536523	270216010	Chr2B	243751049	276666642	128	0.99671875
Chr2B	272550652	303097333	Chr2B	279001652	309524283	44	0.9996363636363637
Chr2B	305321036	318205778	Chr2B	311941207	325176390	16	0.9999375
Chr2B	320343927	333044217	Chr2B	327398518	340194151	21	0.999904761904762
Chr2B	335510269	342279112	Chr2B	342639823	349284794	9	1.0
Chr2B	368614818	373756442	Chr2B	371624250	376721310	22	0.9980454545454545
Chr2B	379832912	683753741	Chr2B	384034238	685737322	1983	0.9970226928895612
Chr2B	686041245	793530997	Chr2B	686144921	788674022	1014	0.9859122287968441
Chr2B	796348035	798824480	Chr2B	792162677	798506753	15	0.9493333333333333
