gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS3D02G000200	Chr3D	328329	328952	+	328640	Chr3D	5591269	5591886	-	5591577	0.99	0.948	rearrangement:Chr3D_block1
gene:TraesCS3D02G000500	Chr3D	390450	391973	-	391211	Chr3D	5551428	5552916	+	5552172	0.96	0.902	rearrangement:Chr3D_block1
gene:TraesCS3D02G000800	Chr3D	494126	496511	+	495318	Chr3D	5463075	5465322	-	5464198	0.993	0.927	rearrangement:Chr3D_block1
gene:TraesCS3D02G001200	Chr3D	686714	687105	-	686909	Chr3D	5432945	5433346	+	5433145	1.0	0.94	rearrangement:Chr3D_block1
gene:TraesCS3D02G001400	Chr3D	707880	709355	+	708617	Chr3D	5244517	5245986	-	5245251	0.991	0.933	rearrangement:Chr3D_block1
gene:TraesCS3D02G001600	Chr3D	774041	778387	-	776214	Chr3D	5226384	5230737	+	5228560	0.966	0.912	rearrangement:Chr3D_block1
gene:TraesCS3D02G001800	Chr3D	853402	855095	+	854248	Chr3D	5120436	5122120	-	5121278	0.994	0.953	rearrangement:Chr3D_block1
gene:TraesCS3D02G001900	Chr3D	865996	870567	-	868281	Chr3D	5110015	5115152	+	5112583	0.988	0.91	rearrangement:Chr3D_block1
gene:TraesCS3D02G002000	Chr3D	925863	930264	-	928063	Chr3D	5022854	5027338	+	5025096	0.97	0.92	rearrangement:Chr3D_block1
gene:TraesCS3D02G002300	Chr3D	1109698	1110822	+	1110260	Chr3D	4563478	4564584	-	4564031	1.0	0.955	rearrangement:Chr3D_block1
gene:TraesCS3D02G003500	Chr3D	1602462	1602965	-	1602713	Chr3D	4174932	4175428	-	4175180	0.974	0.915	rearrangement:Chr3D_block1
gene:TraesCS3D02G003600	Chr3D	1606509	1608807	-	1607658	Chr3D	4182822	4185121	-	4183971	0.989	0.932	rearrangement:Chr3D_block1
