cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr3B	358584653	360111849	Chr3B	389207779	390734122	4	0.9942500000000001
Chr3B	367678075	370933637	Chr3B	399945630	403322222	18	0.989388888888889
Chr3B	421612621	422158101	Chr3B	451544328	452080414	7	0.9995714285714286
Chr3B	213691	336144	Chr3B	1437364	1558208	4	0.99975
Chr3B	6945637	85340142	Chr3B	10364721	96826553	873	0.992241695303551
Chr3B	87718232	191189469	Chr3B	99187692	204318526	590	0.9956898305084744
Chr3B	193609697	195100861	Chr3B	206788475	208322285	11	0.9984545454545454
Chr3B	197792489	207735313	Chr3B	211142037	221094675	73	0.9960958904109589
Chr3B	212297313	215012163	Chr3B	225911129	228411040	11	0.9939090909090911
Chr3B	219342949	230195021	Chr3B	231638794	244845802	50	0.99264
Chr3B	235855911	277099960	Chr3B	250300358	292177945	196	0.9955816326530613
Chr3B	283596077	284678121	Chr3B	298990853	300099444	4	0.9935
Chr3B	292022415	296187942	Chr3B	306261810	310893641	4	0.9964999999999999
Chr3B	299132814	317625373	Chr3B	314330874	334990287	23	0.9962608695652173
Chr3B	322293448	338599491	Chr3B	339631210	356923303	24	0.9940833333333333
Chr3B	340796436	355438414	Chr3B	359111588	380093662	24	0.9955416666666667
Chr3B	361016338	367477711	Chr3B	380847114	388225181	15	0.997
Chr3B	371978296	467052960	Chr3B	394072126	493232428	493	0.9972089249492901
Chr3B	469640104	516001137	Chr3B	495790159	542552669	261	0.9957662835249041
Chr3B	518913010	822195043	Chr3B	547379182	858697788	2535	0.9954007889546352
Chr3B	825290323	830611341	Chr3B	859156540	866755304	56	0.9833035714285714
Chr3B	823555655	823894693	Chr3B	868012119	868359328	5	0.9936
