cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr1A	20029644	159522669	Chr1A	21630154	162240824	869	0.9973567318757192
Chr1A	161671479	177484497	Chr1A	164411826	180155164	31	0.9994193548387098
Chr1A	179530042	182122609	Chr1A	182251918	184826211	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	187616208	196200756	12	0.99975
Chr1A	200578799	202086777	Chr1A	203396237	204885503	5	1.0
Chr1A	204319371	209358469	Chr1A	207104543	212088027	7	0.9998571428571429
Chr1A	212017564	410154980	Chr1A	214597303	416436164	913	0.9964545454545454
Chr1A	412224586	547507742	Chr1A	418824697	554922076	1257	0.9947462211614958
Chr1A	557872911	562318942	Chr1A	566306211	570827083	62	0.9939032258064515
Chr1A	571987978	583990276	Chr1A	581786172	595308530	196	0.9962704081632653
Chr1A	587867043	592852145	Chr1A	596679238	601614149	58	0.9879310344827587
