cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr5A	238691908	239530077	Chr5A	258153514	258985503	14	0.9994285714285713
Chr5A	400412438	402162710	Chr5A	390148730	391883772	17	0.998235294117647
Chr5A	1302732	60528080	Chr5A	75970	61695961	517	0.9968162475822051
Chr5A	63377052	151734470	Chr5A	64946132	152004798	401	0.9977057356608479
Chr5A	155555039	159534199	Chr5A	155846458	159834774	13	1.0
Chr5A	161914114	180994113	Chr5A	162194312	181706952	37	0.9995675675675676
Chr5A	183430057	184231807	Chr5A	184115490	184908409	3	1.0
Chr5A	191038029	199222973	Chr5A	191646772	199744740	16	0.9994375
Chr5A	203479442	222599127	Chr5A	204004091	223416616	33	0.9998787878787879
Chr5A	224689467	237370335	Chr5A	225491228	238753238	27	0.9998888888888889
Chr5A	242534810	248536470	Chr5A	244958388	255183073	14	0.9999285714285715
Chr5A	258775970	398937003	Chr5A	260770313	403230963	722	0.9988324099722994
Chr5A	402540994	423746112	Chr5A	403491203	425209234	111	0.9984954954954954
Chr5A	426537435	709195222	Chr5A	425946665	726631800	3245	0.9964141756548537
