cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr3A	43283	1926689	Chr3A	361289	2597199	24	0.9695833333333334
Chr3A	6895728	128718501	Chr3A	2703242	137029129	1313	0.9960137090632141
Chr3A	130835529	181088605	Chr3A	139100365	188579406	215	0.9984790697674418
Chr3A	184214632	251342423	Chr3A	191683710	259518082	205	0.9993317073170732
Chr3A	259064196	267056348	Chr3A	267109110	275056602	12	0.9978333333333333
Chr3A	269215500	273159995	Chr3A	277231384	281136088	6	0.9993333333333334
Chr3A	275284207	283103162	Chr3A	283260272	291029240	7	0.9998571428571428
Chr3A	290432064	293589663	Chr3A	298967660	302130368	5	0.999
Chr3A	295949198	314620161	Chr3A	304469071	322925581	24	0.9997916666666667
Chr3A	321109384	337881732	Chr3A	332111639	349213512	30	0.9995666666666666
Chr3A	340259729	343231466	Chr3A	351602309	354536518	8	0.996625
Chr3A	345871376	349014829	Chr3A	357180792	360296562	6	0.9996666666666667
Chr3A	351126951	528599904	Chr3A	362400173	539313445	865	0.998557225433526
Chr3A	533994753	545153837	Chr3A	539436312	550690511	73	0.9927397260273972
Chr3A	556260652	750618114	Chr3A	556488306	757164032	2081	0.9966314271984622
Chr3A	529107092	530496965	Chr3A	554040082	555494133	15	0.9948666666666667
Chr3A	531078912	533129337	Chr3A	551619650	553437163	20	0.9955
Chr3A	545257989	547981226	Chr3A	105095291	107838126	30	0.9985666666666667
Chr3A	549266231	555697701	Chr3A	109107602	115398842	45	0.9954444444444445
