gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity	segment
gene:TraesCS5A02G116400	Chr5A	238691766	238692051	+	238691908	Chr5A	258985361	258985646	-	258985503	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G116500	Chr5A	238694126	238699137	+	238696631	Chr5A	258978275	258983286	-	258980780	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G116600	Chr5A	238790277	238790595	-	238790436	Chr5A	258887112	258887430	+	258887271	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G116700	Chr5A	238820336	238821053	+	238820694	Chr5A	258856655	258857372	-	258857013	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G116800	Chr5A	238821248	238821841	-	238821544	Chr5A	258855867	258856460	+	258856163	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G116900	Chr5A	238822206	238822644	+	238822425	Chr5A	258855064	258855502	-	258855283	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G117100	Chr5A	238822947	238830497	+	238826722	Chr5A	258847212	258854761	-	258850986	0.999	0.997	rearrangement:Chr5A_block1
gene:TraesCS5A02G117000	Chr5A	238828456	238828758	-	238828607	Chr5A	258848949	258849251	+	258849100	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G117200	Chr5A	238847111	238849203	-	238848157	Chr5A	258828683	258830775	+	258829729	1.0	0.998	rearrangement:Chr5A_block1
gene:TraesCS5A02G117300	Chr5A	238860045	238860455	-	238860250	Chr5A	258817430	258817841	+	258817635	1.0	0.997	rearrangement:Chr5A_block1
gene:TraesCS5A02G117400	Chr5A	238900801	238901760	+	238901280	Chr5A	258776122	258777081	-	258776601	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G117500	Chr5A	239118833	239124161	+	239121497	Chr5A	258554531	258559859	-	258557195	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G117600	Chr5A	239396439	239410643	+	239403541	Chr5A	258270833	258284694	-	258277763	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G117700	Chr5A	239526892	239533263	+	239530077	Chr5A	258150329	258156700	-	258153514	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G196400	Chr5A	400410933	400413943	+	400412438	Chr5A	391882267	391885277	-	391883772	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G196500	Chr5A	400417628	400419940	+	400418784	Chr5A	391876433	391878582	-	391877507	0.996	0.996	rearrangement:Chr5A_block2
gene:TraesCS5A02G196600	Chr5A	400493675	400495987	-	400494831	Chr5A	391801669	391803818	+	391802743	0.998	0.998	rearrangement:Chr5A_block2
gene:TraesCS5A02G196700	Chr5A	400499687	400502551	-	400501119	Chr5A	391795105	391797969	+	391796537	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G196800	Chr5A	400573460	400576523	+	400574991	Chr5A	391721356	391724419	-	391722887	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G196900	Chr5A	400769047	400777610	-	400773328	Chr5A	391521442	391530006	+	391525724	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G197000	Chr5A	400784620	400797910	-	400791265	Chr5A	391501438	391514432	+	391507935	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G197100	Chr5A	400866703	400879323	+	400873013	Chr5A	391421148	391432981	-	391427064	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G197200	Chr5A	401134551	401145724	+	401140137	Chr5A	391156118	391166807	-	391161462	1.0	0.999	rearrangement:Chr5A_block2
gene:TraesCS5A02G197300	Chr5A	401299052	401313636	+	401306344	Chr5A	390988151	391002827	-	390995489	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G197400	Chr5A	401316086	401318701	-	401317393	Chr5A	390983086	390985701	+	390984393	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G197500	Chr5A	401439220	401441832	+	401440526	Chr5A	390860647	390863536	-	390862091	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G197600	Chr5A	401509084	401509695	-	401509389	Chr5A	390793746	390794357	+	390794051	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G197700	Chr5A	401745642	401754640	-	401750141	Chr5A	390551485	390560483	+	390555984	1.0	1.0	rearrangement:Chr5A_block2
