gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity	segment
gene:TraesCS7D02G000100	Chr7D	207994	212443	-	210218	Chr7D	2760464	2764913	+	2762688	1.0	1.0	collinear
gene:TraesCS7D02G000200	Chr7D	242065	245782	+	243923	Chr7D	2727124	2730841	-	2728982	1.0	1.0	collinear
gene:TraesCS7D02G000300	Chr7D	337014	337852	+	337433	Chr7D	2635149	2635987	-	2635568	1.0	1.0	collinear
gene:TraesCS7D02G000400	Chr7D	365927	369790	-	367858	Chr7D	2603844	2607708	+	2605776	1.0	0.996	collinear
gene:TraesCS7D02G000500	Chr7D	371892	373182	-	372537	Chr7D	2600452	2601742	+	2601097	1.0	1.0	collinear
gene:TraesCS7D02G000600	Chr7D	478788	482688	-	480738	Chr7D	2491540	2495440	+	2493490	1.0	1.0	collinear
gene:TraesCS7D02G000700	Chr7D	708561	711512	-	710036	Chr7D	2262005	2264956	+	2263480	1.0	1.0	collinear
gene:TraesCS7D02G000800	Chr7D	981342	987541	-	984441	Chr7D	1970105	1976307	+	1973206	1.0	1.0	collinear
gene:TraesCS7D02G000900	Chr7D	1014669	1018126	-	1016397	Chr7D	1939535	1942992	+	1941263	1.0	1.0	collinear
gene:TraesCS7D02G001000	Chr7D	1076583	1077770	-	1077176	Chr7D	1880847	1882034	+	1881440	1.0	1.0	collinear
gene:TraesCS7D02G001100	Chr7D	1088627	1091627	-	1090127	Chr7D	1867246	1870222	+	1868734	0.992	0.989	collinear
gene:TraesCS7D02G001200	Chr7D	1125501	1138472	-	1131986	Chr7D	1820518	1833493	+	1827005	1.0	1.0	collinear
gene:TraesCS7D02G001300	Chr7D	1185845	1187461	-	1186653	Chr7D	1772303	1773919	+	1773111	1.0	1.0	collinear
gene:TraesCS7D02G001400	Chr7D	1257398	1258902	-	1258150	Chr7D	1701789	1703293	+	1702541	1.0	1.0	collinear
gene:TraesCS7D02G001500	Chr7D	1259904	1265300	-	1262602	Chr7D	1695770	1700787	+	1698278	1.0	1.0	collinear
gene:TraesCS7D02G001600	Chr7D	1307798	1322611	+	1315204	Chr7D	1638786	1653225	-	1646005	1.0	1.0	collinear
gene:TraesCS7D02G001700	Chr7D	1325206	1326414	+	1325810	Chr7D	1634983	1636191	-	1635587	1.0	1.0	collinear
gene:TraesCS7D02G001800	Chr7D	1357522	1362976	+	1360249	Chr7D	1598585	1604056	-	1601320	1.0	1.0	collinear
gene:TraesCS7D02G001900	Chr7D	1414178	1419505	-	1416841	Chr7D	1542844	1548172	+	1545508	1.0	1.0	collinear
gene:TraesCS7D02G002000	Chr7D	1464750	1466388	+	1465569	Chr7D	1400699	1402337	-	1401518	1.0	0.999	collinear
gene:TraesCS7D02G002100	Chr7D	1519335	1520528	-	1519931	Chr7D	1346530	1347723	+	1347126	1.0	1.0	collinear
gene:TraesCS7D02G002200	Chr7D	1526751	1528100	-	1527425	Chr7D	1338958	1340307	+	1339632	1.0	1.0	collinear
gene:TraesCS7D02G002300	Chr7D	1534747	1535478	-	1535112	Chr7D	1331580	1332311	+	1331945	1.0	1.0	collinear
gene:TraesCS7D02G002400	Chr7D	1545803	1551340	-	1548571	Chr7D	1315949	1321486	+	1318717	1.0	1.0	collinear
gene:TraesCS7D02G002500	Chr7D	1570744	1572074	+	1571409	Chr7D	1295208	1296538	-	1295873	1.0	1.0	collinear
gene:TraesCS7D02G002600	Chr7D	1704704	1711943	+	1708323	Chr7D	1142903	1150136	-	1146519	1.0	1.0	collinear
gene:TraesCS7D02G002700	Chr7D	1751649	1754214	-	1752931	Chr7D	1100633	1103198	+	1101915	1.0	1.0	collinear
gene:TraesCS7D02G002900	Chr7D	1936973	1942310	+	1939641	Chr7D	776810	782147	-	779478	1.0	1.0	collinear
gene:TraesCS7D02G003000	Chr7D	1959040	1964911	+	1961975	Chr7D	754500	760371	-	757435	1.0	1.0	collinear
