gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity	segment
gene:TraesCS6A02G005400	Chr6A	2130377	2133736	+	2132056	Chr6A	7450433	7452361	-	7451397	0.997	0.978	collinear
gene:TraesCS6A02G005600	Chr6A	2177764	2180753	-	2179258	Chr6A	7398106	7400614	+	7399360	1.0	0.979	collinear
gene:TraesCS6A02G005800	Chr6A	2232270	2234509	-	2233389	Chr6A	7303563	7304303	+	7303933	0.998	0.975	collinear
gene:TraesCS6A02G006100	Chr6A	2264870	2265247	-	2265058	Chr6A	7291461	7291834	+	7291647	1.0	0.985	collinear
gene:TraesCS6A02G006200	Chr6A	2273724	2277122	-	2275423	Chr6A	7266353	7269724	+	7268038	1.0	0.986	collinear
gene:TraesCS6A02G006500	Chr6A	2407884	2411797	-	2409840	Chr6A	7191842	7195703	+	7193772	1.0	0.986	collinear
gene:TraesCS6A02G006600	Chr6A	2716291	2719670	-	2717980	Chr6A	7011301	7014699	+	7013000	1.0	0.987	collinear
gene:TraesCS6A02G006700	Chr6A	2724236	2725111	-	2724673	Chr6A	7005976	7006852	+	7006414	1.0	0.969	collinear
gene:TraesCS6A02G006800	Chr6A	2727546	2731988	-	2729767	Chr6A	7000037	7003707	+	7001872	1.0	0.978	collinear
gene:TraesCS6A02G006900	Chr6A	2749268	2749864	+	2749566	Chr6A	6995153	6995749	-	6995451	1.0	0.994	collinear
gene:TraesCS6A02G007000	Chr6A	2750921	2751822	+	2751371	Chr6A	6993200	6994101	-	6993650	1.0	0.982	collinear
gene:TraesCS6A02G007100	Chr6A	2790533	2795156	+	2792844	Chr6A	6902683	6907317	-	6905000	0.955	0.929	collinear
gene:TraesCS6A02G007200	Chr6A	2799043	2801355	+	2800199	Chr6A	6897864	6900272	-	6899068	1.0	0.949	collinear
gene:TraesCS6A02G007300	Chr6A	2925081	2929106	+	2927093	Chr6A	6702076	6706091	-	6704083	1.0	0.989	collinear
gene:TraesCS6A02G007400	Chr6A	2951919	2958039	+	2954979	Chr6A	6671207	6677237	-	6674222	0.999	0.977	collinear
gene:TraesCS6A02G007500	Chr6A	2970723	2974933	+	2972828	Chr6A	6664493	6668595	-	6666544	0.993	0.977	collinear
gene:TraesCS6A02G007700	Chr6A	3014040	3017481	+	3015760	Chr6A	6638820	6642145	-	6640482	1.0	0.997	collinear
gene:TraesCS6A02G007800	Chr6A	3206194	3206811	+	3206502	Chr6A	6479135	6479752	-	6479443	1.0	0.985	collinear
gene:TraesCS6A02G007900	Chr6A	3237974	3238467	+	3238220	Chr6A	6402571	6403063	-	6402817	1.0	0.983	collinear
gene:TraesCS6A02G008000	Chr6A	3288495	3289339	+	3288917	Chr6A	6369526	6370368	-	6369947	0.985	0.942	collinear
gene:TraesCS6A02G008700	Chr6A	3687889	3690253	+	3689071	Chr6A	6270871	6273250	-	6272060	1.0	0.994	collinear
gene:TraesCS6A02G008800	Chr6A	3690332	3692787	+	3691559	Chr6A	6268338	6270792	-	6269565	1.0	0.979	collinear
gene:TraesCS6A02G008900	Chr6A	3705190	3706849	+	3706019	Chr6A	6258674	6260231	-	6259452	0.933	0.917	collinear
gene:TraesCS6A02G009000	Chr6A	3745929	3748223	-	3747076	Chr6A	6197537	6199834	+	6198685	1.0	0.966	collinear
gene:TraesCS6A02G009100	Chr6A	3771987	3774077	-	3773032	Chr6A	6173306	6175406	+	6174356	0.997	0.988	collinear
gene:TraesCS6A02G009200	Chr6A	3851157	3853368	-	3852262	Chr6A	5819547	5821860	+	5820703	0.996	0.96	collinear
gene:TraesCS6A02G009300	Chr6A	3855223	3856041	-	3855632	Chr6A	5816842	5817666	+	5817254	0.984	0.933	collinear
gene:TraesCS6A02G009400	Chr6A	3912917	3914541	+	3913729	Chr6A	5792674	5794300	-	5793487	1.0	0.983	collinear
gene:TraesCS6A02G009500	Chr6A	4151906	4182072	+	4166989	Chr6A	5684975	5689952	+	5687463	0.955	0.922	collinear
gene:TraesCS6A02G010000	Chr6A	4578313	4580298	+	4579305	Chr6A	5016098	5018083	-	5017090	1.0	0.981	collinear
gene:TraesCS6A02G010600	Chr6A	5048234	5049630	-	5048932	Chr6A	5616047	5617461	+	5616754	0.979	0.968	collinear
gene:TraesCS6A02G011100	Chr6A	5206572	5207300	+	5206936	Chr6A	4943717	4944445	-	4944081	1.0	0.984	collinear
gene:TraesCS6A02G011200	Chr6A	5221442	5222782	-	5222112	Chr6A	4936795	4938135	+	4937465	1.0	0.982	collinear
gene:TraesCS6A02G011300	Chr6A	5294255	5297203	-	5295729	Chr6A	4901811	4904887	+	4903349	0.998	0.986	collinear
gene:TraesCS6A02G011400	Chr6A	5319080	5322498	-	5320789	Chr6A	4877268	4880694	+	4878981	0.994	0.966	collinear
gene:TraesCS6A02G011500	Chr6A	5323438	5324822	-	5324130	Chr6A	4875193	4876578	+	4875885	1.0	0.962	collinear
gene:TraesCS6A02G011600	Chr6A	5326377	5327045	-	5326711	Chr6A	4872987	4873655	+	4873321	1.0	0.971	collinear
gene:TraesCS6A02G011700	Chr6A	5358104	5364843	+	5361473	Chr6A	4852322	4859010	-	4855666	0.968	0.957	collinear
gene:TraesCS6A02G011800	Chr6A	5473439	5480862	-	5477150	Chr6A	4750740	4758170	+	4754455	1.0	0.982	collinear
gene:TraesCS6A02G011900	Chr6A	5504161	5505060	-	5504610	Chr6A	4729751	4730644	+	4730197	1.0	0.98	collinear
gene:TraesCS6A02G012000	Chr6A	5551169	5558354	-	5554761	Chr6A	4637976	4644011	+	4640993	1.0	0.989	collinear
gene:TraesCS6A02G012100	Chr6A	5603131	5605597	+	5604364	Chr6A	4597132	4599300	-	4598216	1.0	0.988	collinear
gene:TraesCS6A02G012200	Chr6A	5605811	5607286	-	5606548	Chr6A	4595196	4596913	+	4596054	1.0	0.984	collinear
gene:TraesCS6A02G012500	Chr6A	5856594	5857535	-	5857064	Chr6A	4589103	4590045	+	4589574	1.0	0.974	collinear
gene:TraesCS6A02G012600	Chr6A	5861573	5863417	+	5862495	Chr6A	4583207	4585018	-	4584112	0.982	0.965	collinear
