cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr4D	1399648	140903099	Chr4D	14646	142347726	1394	0.9988615494978479
Chr4D	143579930	155648423	Chr4D	145006040	157006143	16	0.9978125
Chr4D	163412513	183387226	Chr4D	164753251	184373393	24	0.999625
Chr4D	188710899	192736636	Chr4D	190606084	194600536	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	196869249	200406450	7	0.9994285714285714
Chr4D	201443437	204732235	Chr4D	203708923	209618344	6	1.0
Chr4D	206901645	212157624	Chr4D	210798227	215937432	21	0.998952380952381
Chr4D	214312396	228145178	Chr4D	218068092	231815982	23	0.999521739130435
Chr4D	230482531	238626311	Chr4D	234011247	242308308	10	0.9995
Chr4D	240933419	248933627	Chr4D	244598498	253414830	19	0.9994210526315788
Chr4D	251524682	256552996	Chr4D	255985419	260979438	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	263301827	265701400	6	1.0
Chr4D	263946972	268074619	Chr4D	268385803	272461979	7	0.9982857142857142
Chr4D	270654719	329311457	Chr4D	275040180	333696002	242	0.9990495867768595
Chr4D	331638064	375735889	Chr4D	336001177	379952351	301	0.9992358803986711
Chr4D	377828182	410407878	Chr4D	382064047	417808936	238	0.9988487394957983
Chr4D	412715801	509853899	Chr4D	420624347	524112823	1161	0.9990206718346252
