gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity	segment
gene:TraesCS1B02G005200	Chr1B	3200087	3213520	+	3206803	Chr1B	2132732	2145842	+	2139287	0.996	0.99	rearrangement:Chr1B_block1
gene:TraesCS1B02G005300	Chr1B	3269195	3273714	+	3271454	Chr1B	2201054	2205346	+	2203200	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G005400	Chr1B	3562921	3563202	-	3563061	Chr1B	2491964	2492246	-	2492105	1.0	0.996	rearrangement:Chr1B_block1
gene:TraesCS1B02G005500	Chr1B	3574035	3575832	-	3574933	Chr1B	2503081	2504878	-	2503979	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G005600	Chr1B	3655656	3658361	+	3657008	Chr1B	2575655	2578360	+	2577007	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G006000	Chr1B	3881677	3884665	+	3883171	Chr1B	2799130	2802118	+	2800624	1.0	0.992	rearrangement:Chr1B_block1
gene:TraesCS1B02G006100	Chr1B	3894103	3896004	+	3895053	Chr1B	2811559	2813460	+	2812509	1.0	0.999	rearrangement:Chr1B_block1
gene:TraesCS1B02G006200	Chr1B	3907235	3909968	+	3908601	Chr1B	2823944	2826676	+	2825310	0.999	0.987	rearrangement:Chr1B_block1
gene:TraesCS1B02G006300	Chr1B	3923636	3931437	+	3927536	Chr1B	2840272	2848073	+	2844172	1.0	0.999	rearrangement:Chr1B_block1
gene:TraesCS1B02G006400	Chr1B	3935552	3939101	+	3937326	Chr1B	2852189	2855464	+	2853826	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G006500	Chr1B	3942367	3945848	+	3944107	Chr1B	2858729	2862210	+	2860469	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G006600	Chr1B	3946949	3949045	-	3947997	Chr1B	2863311	2865407	-	2864359	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G006700	Chr1B	3952346	3954184	+	3953265	Chr1B	2868708	2870546	+	2869627	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G006800	Chr1B	3964540	3968018	+	3966279	Chr1B	2880764	2884242	+	2882503	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G006900	Chr1B	4053604	4072837	+	4063220	Chr1B	2968530	2987313	+	2977921	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G007000	Chr1B	4084892	4090923	+	4087907	Chr1B	3006706	3012737	+	3009721	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G007100	Chr1B	4097642	4099049	+	4098345	Chr1B	3019454	3020861	+	3020157	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G007200	Chr1B	4109172	4112312	+	4110742	Chr1B	3030984	3034124	+	3032554	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G007300	Chr1B	4143562	4146861	+	4145211	Chr1B	3064879	3068178	+	3066528	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G007400	Chr1B	4150736	4154830	+	4152783	Chr1B	3072053	3076147	+	3074100	1.0	0.999	rearrangement:Chr1B_block1
gene:TraesCS1B02G007500	Chr1B	4205029	4208343	+	4206686	Chr1B	3126492	3129806	+	3128149	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G007600	Chr1B	4219905	4221185	+	4220545	Chr1B	3141367	3142647	+	3142007	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G007700	Chr1B	4222340	4225375	-	4223857	Chr1B	3143802	3146837	-	3145319	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G007800	Chr1B	4320651	4326770	-	4323710	Chr1B	3240924	3247043	-	3243983	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G007900	Chr1B	4340022	4343180	+	4341601	Chr1B	3261019	3264177	+	3262598	1.0	0.999	rearrangement:Chr1B_block1
gene:TraesCS1B02G008000	Chr1B	4345220	4352718	-	4348969	Chr1B	3266197	3273695	-	3269946	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G008100	Chr1B	4463768	4464866	+	4464317	Chr1B	3447157	3448254	+	3447705	0.999	0.997	rearrangement:Chr1B_block1
gene:TraesCS1B02G008200	Chr1B	4475908	4479190	+	4477549	Chr1B	3459152	3462434	+	3460793	1.0	0.997	rearrangement:Chr1B_block1
gene:TraesCS1B02G008300	Chr1B	4480185	4481605	-	4480895	Chr1B	3463429	3464849	-	3464139	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G008400	Chr1B	4481925	4483673	-	4482799	Chr1B	3465169	3466917	-	3466043	1.0	0.998	rearrangement:Chr1B_block1
gene:TraesCS1B02G008500	Chr1B	4506843	4510847	-	4508845	Chr1B	3490086	3494090	-	3492088	1.0	0.997	rearrangement:Chr1B_block1
gene:TraesCS1B02G008600	Chr1B	4516817	4520149	-	4518483	Chr1B	3500063	3503395	-	3501729	1.0	0.999	rearrangement:Chr1B_block1
gene:TraesCS1B02G008700	Chr1B	4529176	4530521	-	4529848	Chr1B	3512366	3513711	-	3513038	1.0	0.999	rearrangement:Chr1B_block1
gene:TraesCS1B02G008800	Chr1B	4532497	4534896	-	4533696	Chr1B	3515705	3518104	-	3516904	1.0	0.998	rearrangement:Chr1B_block1
gene:TraesCS1B02G008900	Chr1B	4539577	4543678	-	4541627	Chr1B	3522785	3526886	-	3524835	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G008952	Chr1B	4549817	4550131	-	4549974	Chr1B	3533025	3533339	-	3533182	1.0	1.0	rearrangement:Chr1B_block1
gene:TraesCS1B02G009000	Chr1B	4558157	4561563	-	4559860	Chr1B	3541366	3544771	-	3543068	0.999	0.998	rearrangement:Chr1B_block1
gene:TraesCS1B02G009100	Chr1B	4579004	4580518	-	4579761	Chr1B	3561613	3563127	-	3562370	1.0	0.998	rearrangement:Chr1B_block1
gene:TraesCS1B02G009200	Chr1B	4586788	4591608	-	4589198	Chr1B	3570377	3575197	-	3572787	1.0	0.999	rearrangement:Chr1B_block1
gene:TraesCS1B02G009300	Chr1B	4595787	4597245	-	4596516	Chr1B	3579376	3580836	-	3580106	1.0	0.958	rearrangement:Chr1B_block1
gene:TraesCS1B02G050200	Chr1B	30393964	30397094	+	30395529	Chr1B	28096297	28099434	+	28097865	0.991	0.98	rearrangement:Chr1B_block2
gene:TraesCS1B02G050300	Chr1B	30530310	30531153	+	30530731	Chr1B	28230614	28231457	+	28231035	1.0	1.0	rearrangement:Chr1B_block2
gene:TraesCS1B02G050400	Chr1B	30543633	30547236	+	30545434	Chr1B	28243804	28247407	+	28245605	1.0	1.0	rearrangement:Chr1B_block2
gene:TraesCS1B02G050500	Chr1B	30723311	30726962	+	30725136	Chr1B	28436360	28439657	+	28438008	1.0	0.996	rearrangement:Chr1B_block2
gene:TraesCS1B02G050600	Chr1B	30730083	30731757	-	30730920	Chr1B	28442778	28444452	-	28443615	1.0	0.996	rearrangement:Chr1B_block2
