cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr3D	2968489	3824424	Chr3D	472920	1299972	22	0.999409090909091
Chr3D	299594493	309773279	Chr3D	320292978	330407814	82	0.9984390243902439
Chr3D	315479683	324312558	Chr3D	305852942	314610932	35	0.9998857142857144
Chr3D	325803	116334693	Chr3D	1357313	122830260	1341	0.9983370618941089
Chr3D	118542402	193596645	Chr3D	125017191	199824402	415	0.9994289156626507
Chr3D	196947044	200390459	Chr3D	203169672	206591633	5	0.9998000000000001
Chr3D	202614073	202651143	Chr3D	209102355	209138411	4	0.9995
Chr3D	206979095	213997235	Chr3D	213440010	219917749	11	0.9990000000000001
Chr3D	216425033	219568689	Chr3D	222329015	225415629	6	1.0
Chr3D	225525420	232470513	Chr3D	231526292	238428840	13	0.9996153846153846
Chr3D	234603090	244292283	Chr3D	240543061	251235808	13	0.9997692307692309
Chr3D	246327705	257173258	Chr3D	252068530	264075689	28	0.9997857142857143
Chr3D	259434941	298593191	Chr3D	266319435	305291383	138	0.9988260869565216
Chr3D	309914930	314619116	Chr3D	315463169	320151483	30	0.9999333333333333
Chr3D	324387385	492131921	Chr3D	331081108	497513972	1372	0.9989446064139943
Chr3D	494653889	615474754	Chr3D	500470656	623570671	1599	0.9978661663539712
