cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr6B	127040049	127749533	Chr6B	151410470	152066151	7	0.9964285714285716
Chr6B	142596232	143998006	Chr6B	128882219	130240457	16	0.9969999999999999
Chr6B	179752655	200611006	Chr6B	223960484	245432592	95	0.9977368421052631
Chr6B	220574997	227094797	Chr6B	191205444	197569331	26	0.9967692307692307
Chr6B	345468265	354958562	Chr6B	414094947	423457448	26	0.9985384615384614
Chr6B	360416955	368477109	Chr6B	398379825	406575943	13	0.9917692307692308
Chr6B	387119500	399207768	Chr6B	363391768	375396733	33	0.9975757575757577
Chr6B	168584	39339293	Chr6B	1370478	43065425	430	0.9889953488372092
Chr6B	41409794	103962989	Chr6B	43700705	105302216	483	0.9941283643892339
Chr6B	106468710	109142658	Chr6B	107814810	110480349	7	0.9995714285714286
Chr6B	111685641	126728464	Chr6B	113725058	133681830	114	0.991938596491228
Chr6B	129157045	136526206	Chr6B	141573882	148850319	47	0.9925531914893617
Chr6B	138644633	140601186	Chr6B	136813190	138392963	6	0.9870000000000001
Chr6B	144890521	177794189	Chr6B	152552240	189968892	166	0.9936566265060242
Chr6B	201409686	211214330	Chr6B	210985771	223168035	39	0.9971282051282049
Chr6B	227269405	240401733	Chr6B	246450831	262902316	79	0.9993417721518987
Chr6B	243269422	250132421	Chr6B	265486876	271342322	18	0.9937222222222221
Chr6B	255004953	262472341	Chr6B	272204769	279204646	28	0.9976785714285714
Chr6B	264839998	264978909	Chr6B	281558940	281702811	6	0.9973333333333333
Chr6B	267065797	267505591	Chr6B	283778330	284214252	3	0.999
Chr6B	271843331	282983990	Chr6B	288046218	299052604	41	0.9982439024390243
Chr6B	286712737	293114190	Chr6B	303476390	310005641	24	0.9944166666666666
Chr6B	295767133	302596217	Chr6B	311686496	318645717	27	0.9964814814814815
Chr6B	304894478	315276992	Chr6B	320875153	332604685	21	0.9981904761904762
Chr6B	317882304	321293096	Chr6B	324647631	336282673	10	0.9978000000000001
Chr6B	341712366	343111521	Chr6B	359824195	361134485	5	0.9969999999999999
Chr6B	369487979	378959413	Chr6B	383953944	397531824	14	0.9987857142857142
Chr6B	399766388	424306904	Chr6B	413084059	447291831	56	0.9957321428571427
Chr6B	430193107	441049080	Chr6B	448109390	459624877	50	0.9986600000000001
Chr6B	445853091	457668075	Chr6B	464480586	477998801	52	0.9951730769230771
Chr6B	459692686	463372479	Chr6B	478471103	483603987	21	0.9954761904761905
Chr6B	465677403	479000671	Chr6B	489869591	504722115	77	0.997857142857143
Chr6B	495431601	506391451	Chr6B	514335121	525635377	63	0.9996349206349205
Chr6B	516078619	620708761	Chr6B	542633631	644906739	639	0.9972691705790298
Chr6B	622726250	626889431	Chr6B	646810748	650841659	34	0.9935
Chr6B	630465748	720953306	Chr6B	653403971	744867642	870	0.988419540229885
Chr6B	479080248	494427794	Chr6B	526755628	542318644	69	0.9930289855072465
Chr6B	506547150	509520425	Chr6B	511234604	514181162	25	0.99872
Chr6B	510723360	515582492	Chr6B	505222855	510038250	32	0.99971875
