cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr3B	20003455	23020684	Chr3B	27124944	30136931	36	0.9803888888888888
Chr3B	27378366	85340142	Chr3B	34424671	98642985	557	0.9942136445242371
Chr3B	87718232	184963188	Chr3B	100791228	196968551	545	0.9954642201834862
Chr3B	187151023	191189469	Chr3B	197537909	201622599	33	0.9963636363636365
Chr3B	193609697	195100861	Chr3B	204085435	205619040	11	0.9982727272727273
Chr3B	197792489	207735313	Chr3B	208438458	218392673	72	0.996375
Chr3B	212297313	215613173	Chr3B	222129616	225475627	12	0.9953333333333335
Chr3B	219342949	230195021	Chr3B	229096744	240409577	50	0.99554
Chr3B	235855911	277099960	Chr3B	246151236	288016464	195	0.995297435897436
Chr3B	283596077	284678121	Chr3B	294762729	295871341	4	0.9935
Chr3B	292022415	296187942	Chr3B	302046079	306666693	4	0.9962500000000001
Chr3B	299132814	309615956	Chr3B	310116746	322984895	15	0.997
Chr3B	312893801	317625373	Chr3B	324719224	330176103	7	0.9944285714285713
Chr3B	322293448	333455847	Chr3B	334834986	346447666	19	0.9929473684210526
Chr3B	340796436	341957943	Chr3B	351017685	352213315	3	0.9983333333333334
Chr3B	351289912	354430754	Chr3B	364871013	368447665	5	0.9954000000000001
Chr3B	360111849	363324584	Chr3B	373218671	376492318	7	0.9971428571428572
Chr3B	370150864	373875790	Chr3B	384106693	388067957	18	0.9932777777777777
Chr3B	377420901	466686636	Chr3B	391348622	479843524	483	0.9972028985507246
Chr3B	469640104	516001137	Chr3B	483831261	530113414	268	0.9989067164179104
Chr3B	518913010	822195043	Chr3B	534940534	843010621	2526	0.995625890736342
Chr3B	825493743	830611341	Chr3B	843343847	848937799	65	0.9897384615384616
