cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr4A	54108293	58221890	Chr4A	63557319	67786408	22	0.9977727272727273
Chr4A	76418229	78765803	Chr4A	68087987	70471593	15	0.9968
Chr4A	64957558	70810849	Chr4A	76088242	81820181	41	0.9942439024390245
Chr4A	246655838	246711649	Chr4A	254726204	254781882	7	0.999
Chr4A	248831802	263897149	Chr4A	256914838	271877242	21	0.9991428571428571
Chr4A	270325461	282083530	Chr4A	295717406	308788003	16	0.99975
Chr4A	284630458	299600846	Chr4A	272784356	323502745	17	0.9993529411764707
Chr4A	306317948	314684131	Chr4A	281241259	289529368	54	0.9992222222222222
Chr4A	320272231	327753355	Chr4A	246825369	254245730	14	0.9978571428571429
Chr4A	82701	52611541	Chr4A	124016	53406120	563	0.9967957371225575
Chr4A	58349722	63826133	Chr4A	57936692	63430017	50	0.99408
Chr4A	71123925	75971067	Chr4A	70929230	75768794	39	0.9934871794871794
Chr4A	81276884	130504034	Chr4A	82188831	131360774	280	0.9953928571428571
Chr4A	132701921	192628546	Chr4A	133402092	192923786	258	0.9987054263565891
Chr4A	195313531	220022826	Chr4A	195591939	220154906	45	0.997977777777778
Chr4A	222107768	222562036	Chr4A	222233309	222708153	3	1.0
Chr4A	225313869	227091476	Chr4A	225426769	227186920	4	1.0
Chr4A	229493172	242884659	Chr4A	229567524	242990424	21	1.0
Chr4A	329170186	334268011	Chr4A	328216624	333403092	6	0.9994999999999999
Chr4A	338745706	350244063	Chr4A	337871427	349179799	23	0.9998260869565219
Chr4A	352270324	353874280	Chr4A	351312158	352905992	4	1.0
Chr4A	356554191	359638234	Chr4A	355557460	358599746	6	0.9998333333333335
Chr4A	362089683	365639149	Chr4A	361030242	364578565	5	1.0
Chr4A	373805571	387104269	Chr4A	374433438	387649713	15	0.9996666666666667
Chr4A	389242085	390892975	Chr4A	389774214	391399463	3	1.0
Chr4A	395027325	398506001	Chr4A	395504445	398946829	6	1.0
Chr4A	400757887	401303656	Chr4A	401175531	401726695	3	0.999
Chr4A	407610912	420517232	Chr4A	407973262	420858698	17	0.9997647058823529
Chr4A	422761993	508494353	Chr4A	423088254	508260899	414	0.998132850241546
Chr4A	510639254	704250397	Chr4A	510373106	711522429	2048	0.9985439453125
Chr4A	707038162	708321846	Chr4A	714844229	715819629	5	1.0
Chr4A	719014594	719178979	Chr4A	726547452	726727028	4	0.958
Chr4A	738515326	744433514	Chr4A	741228873	745015810	31	0.9462903225806453
Chr4A	669044550	669443398	Chr4A	736159578	736544117	5	0.9832000000000001
