cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr4B	1697504	2379780	Chr4B	4845732	5667222	9	0.9888888888888889
Chr4B	2692760	3904908	Chr4B	8430339	9011387	13	0.9916923076923078
Chr4B	206794132	222609439	Chr4B	200240091	215901805	42	0.9996190476190476
Chr4B	226512235	230010047	Chr4B	219318111	222742712	4	1.0
Chr4B	4331833	10611780	Chr4B	436218	4682109	47	0.995191489361702
Chr4B	14532242	83143343	Chr4B	9199740	77652413	596	0.9983288590604025
Chr4B	85363222	152088859	Chr4B	79865418	145723676	384	0.9982005208333334
Chr4B	154112314	161625531	Chr4B	147687096	155014082	12	0.9982500000000001
Chr4B	163837175	192791026	Chr4B	157514943	187169064	165	0.9991636363636365
Chr4B	195462962	203206912	Chr4B	189009262	196712730	7	0.9978571428571428
Chr4B	295046802	296948857	Chr4B	299443922	301133474	3	1.0
Chr4B	357909130	429353205	Chr4B	363544633	435645003	336	0.9979226190476191
Chr4B	431793129	555214399	Chr4B	438007899	565116539	686	0.9972638483965015
Chr4B	557454431	670456299	Chr4B	566457284	677865185	1049	0.9954251668255482
