cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr2A	7328920	8149168	Chr2A	7880020	8793126	10	0.9838999999999999
Chr2A	260548731	262579565	Chr2A	256025387	258120916	7	0.9995714285714286
Chr2A	265274570	273294992	Chr2A	246090174	254826492	16	0.9926875
Chr2A	275352399	278919157	Chr2A	240398708	243924898	18	0.9962222222222221
Chr2A	337666978	338546598	Chr2A	334918711	335914838	6	0.9956666666666667
Chr2A	342544978	349739385	Chr2A	360493626	367668616	12	0.995
Chr2A	355457690	358948890	Chr2A	351904654	355433096	4	0.9984999999999999
Chr2A	360420161	362049113	Chr2A	373173464	374852834	7	0.9977142857142857
Chr2A	2645798	9537457	Chr2A	3542562	10698086	108	0.9908611111111111
Chr2A	11758676	233473266	Chr2A	12701376	239573601	1835	0.9952201634877386
Chr2A	255910505	258353437	Chr2A	260435632	262828409	8	0.9975
Chr2A	278994740	281746218	Chr2A	284721542	287482726	5	0.9984
Chr2A	283944564	286439768	Chr2A	289735450	292324622	5	0.9966000000000002
Chr2A	288988301	293951072	Chr2A	294844037	299677946	7	0.9911428571428572
Chr2A	297253831	306682759	Chr2A	301996393	312946897	10	0.9971
Chr2A	309689781	315039543	Chr2A	315926969	322762454	7	0.9930000000000001
Chr2A	317947462	324619894	Chr2A	325603059	332348902	12	0.9951666666666666
Chr2A	332023391	335848607	Chr2A	337733958	341519902	23	0.9913913043478261
Chr2A	350405869	354530162	Chr2A	356359035	359823615	8	0.9962500000000001
Chr2A	364470917	366720526	Chr2A	368983618	371383752	6	0.9981666666666666
Chr2A	369216145	395710262	Chr2A	377270234	403302262	90	0.9962888888888889
Chr2A	398464297	398971793	Chr2A	407775230	408253251	4	0.99525
Chr2A	405468040	486499474	Chr2A	412954290	493543743	268	0.9968283582089551
Chr2A	488847564	547776466	Chr2A	495861867	553812221	315	0.9961619047619048
Chr2A	563768705	568581517	Chr2A	569444672	574237827	42	0.9967857142857144
Chr2A	582840575	760762714	Chr2A	588183719	766113162	1954	0.9969733879222107
Chr2A	771073879	775580590	Chr2A	776158751	780708266	66	0.9970151515151515
Chr2A	549288612	563202760	Chr2A	574833640	587868728	100	0.99497
Chr2A	762591133	763248774	Chr2A	794463860	795569699	10	0.9554
Chr2A	775937933	780777724	Chr2A	766251228	771218109	66	0.9755909090909091
