cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr5B	18796	1579566	Chr5B	1564912	2412286	6	0.9893333333333333
Chr5B	5919851	149330732	Chr5B	924261	148521046	922	0.9951138828633406
Chr5B	152509380	153183919	Chr5B	153429481	154076729	3	0.9996666666666667
Chr5B	155280909	167292122	Chr5B	150886110	167149099	19	0.9979473684210526
Chr5B	177191485	192381573	Chr5B	169657745	190931631	23	0.9943478260869566
Chr5B	201287121	209290355	Chr5B	199801178	206946298	22	0.9967272727272726
Chr5B	219089253	236283952	Chr5B	219878114	236756007	64	0.993640625
Chr5B	238316269	257532817	Chr5B	238564763	257256711	78	0.99925641025641
Chr5B	259539413	341562322	Chr5B	259231100	341588448	497	0.997645875251509
Chr5B	343826709	383208800	Chr5B	343812338	383042020	216	0.9981342592592592
Chr5B	386333053	412688052	Chr5B	383299173	409186072	195	0.995574358974359
Chr5B	414828778	700232848	Chr5B	410481405	689725620	2699	0.990583549462764
Chr5B	704074687	712397672	Chr5B	690572899	701331124	150	0.99772
