cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr2A	1860673	235675614	Chr2A	110243	269006553	1897	0.9926383763837638
Chr2A	238725684	240818173	Chr2A	273453991	275546979	7	0.9947142857142858
Chr2A	249151448	252091236	Chr2A	266394965	283412559	6	0.9933333333333333
Chr2A	255910505	258353437	Chr2A	260139238	262540204	8	0.9975
Chr2A	260548731	262165908	Chr2A	256185198	257845871	5	0.9994
Chr2A	278994740	281746218	Chr2A	284799477	287575240	5	0.9986
Chr2A	283944564	286439768	Chr2A	289827589	292415702	5	0.9966000000000002
Chr2A	288988301	293951072	Chr2A	294924204	299761652	7	0.9907142857142858
Chr2A	297253831	306682759	Chr2A	302080910	312987252	11	0.9977272727272726
Chr2A	309689781	311156927	Chr2A	315961677	317413075	3	0.9973333333333333
Chr2A	313209792	315039543	Chr2A	320922294	322813369	3	0.9896666666666668
Chr2A	317947462	324619894	Chr2A	325654996	332383326	12	0.9946666666666667
Chr2A	329696283	338546598	Chr2A	334959131	343880629	32	0.993125
Chr2A	340608829	362444338	Chr2A	351593901	377255640	35	0.9965428571428573
Chr2A	364470917	395710262	Chr2A	370532328	405685188	99	0.9964343434343433
Chr2A	398507174	398971793	Chr2A	410138831	410330387	3	0.9943333333333334
Chr2A	405468040	486499474	Chr2A	415292095	496320458	267	0.9964756554307115
Chr2A	488847564	547776466	Chr2A	498637754	556448837	315	0.9962190476190476
Chr2A	554577526	573397130	Chr2A	567331010	585860269	142	0.995549295774648
Chr2A	582840575	760762714	Chr2A	591453120	771029813	1976	0.9966563765182186
Chr2A	763367077	780777724	Chr2A	771359660	788717967	217	0.9796958525345622
