cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr6A	6566314	11280469	Chr6A	351783	5021162	87	0.9947701149425285
Chr6A	1961248	6191523	Chr6A	5189520	10644473	60	0.9803166666666665
Chr6A	11414391	162912229	Chr6A	14222606	166695008	1274	0.9926177394034539
Chr6A	166503285	172174207	Chr6A	170242698	175862174	30	0.9995999999999999
Chr6A	174450789	233957452	Chr6A	178119712	237429311	206	0.9993592233009708
Chr6A	241266065	242194840	Chr6A	244665004	245580824	3	1.0
Chr6A	248542355	252837117	Chr6A	251972685	256218752	8	1.0
Chr6A	254937051	261705155	Chr6A	258399112	265131235	21	0.9993333333333334
Chr6A	263891514	273262995	Chr6A	267307317	276805532	22	0.9984999999999999
Chr6A	276303162	290261504	Chr6A	280511689	296999802	20	0.9999
Chr6A	297672165	317154843	Chr6A	303354643	322670062	22	0.9998181818181819
Chr6A	321270304	324290097	Chr6A	326743534	329715669	8	0.99975
Chr6A	326393120	330049812	Chr6A	331803518	335448908	6	1.0
Chr6A	332183472	344185082	Chr6A	337560050	349479527	16	0.9955
Chr6A	346572929	346594380	Chr6A	351853164	351874615	3	1.0
Chr6A	351830716	353340072	Chr6A	357176260	358678443	4	0.99975
Chr6A	355403353	526117584	Chr6A	360733295	530766894	861	0.998732868757259
Chr6A	528949160	617935753	Chr6A	530799324	624755383	1153	0.9945845620121421
