gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity	segment
gene:TraesCS6B02G038300	Chr6B	22715542	22719553	+	22717547	Chr6B	18293231	18296864	+	18295047	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G038500	Chr6B	22902715	22909917	-	22906316	Chr6B	18479174	18486376	-	18482775	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G038600	Chr6B	23009394	23009801	+	23009597	Chr6B	18585247	18585654	+	18585450	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G038700	Chr6B	23037576	23038721	+	23038148	Chr6B	18613257	18614402	+	18613829	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G038800	Chr6B	23167252	23175410	-	23171331	Chr6B	18829454	18837612	-	18833533	1.0	0.999	rearrangement:Chr6B_block1
gene:TraesCS6B02G038900	Chr6B	23224839	23226536	+	23225687	Chr6B	18886774	18888471	+	18887622	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G039000	Chr6B	23438106	23445579	-	23441842	Chr6B	19096792	19104265	-	19100528	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G039100	Chr6B	23527611	23528606	-	23528108	Chr6B	19185988	19186983	-	19186485	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G039200	Chr6B	23604666	23606019	-	23605342	Chr6B	19262571	19263924	-	19263247	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G039300	Chr6B	23639098	23643334	+	23641216	Chr6B	19296345	19300581	+	19298463	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G039400	Chr6B	23645045	23647575	-	23646310	Chr6B	19302292	19304549	-	19303420	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G039500	Chr6B	23658191	23660112	-	23659151	Chr6B	19314863	19316784	-	19315823	1.0	1.0	rearrangement:Chr6B_block1
gene:TraesCS6B02G039512	Chr6B	23673076	23674258	+	23673667	Chr6B	19329820	19331002	+	19330411	1.0	0.998	rearrangement:Chr6B_block1
gene:TraesCS6B02G039600	Chr6B	24436856	24438324	-	24437590	Chr6B	20116823	20118291	-	20117557	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B02G039700	Chr6B	24800685	24818991	+	24809838	Chr6B	20476849	20495150	+	20485999	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B02G039800	Chr6B	24885263	24887368	+	24886315	Chr6B	20559877	20561982	+	20560929	1.0	1.0	rearrangement:Chr6B_block2
gene:TraesCS6B02G039900	Chr6B	24915571	24918913	-	24917242	Chr6B	20672120	20675462	-	20673791	1.0	0.999	rearrangement:Chr6B_block2
gene:TraesCS6B02G040000	Chr6B	24921553	24938618	-	24930085	Chr6B	20677902	20693246	-	20685574	0.924	0.924	rearrangement:Chr6B_block2
gene:TraesCS6B02G000100	Chr6B	111505	117469	-	114487	Chr6B	6380896	6386860	-	6383878	1.0	1.0	collinear
gene:TraesCS6B02G000200	Chr6B	127120	139165	-	133142	Chr6B	6396099	6407948	-	6402023	1.0	1.0	collinear
gene:TraesCS6B02G000300	Chr6B	163680	173488	-	168584	Chr6B	6432463	6442271	-	6437367	1.0	0.999	collinear
gene:TraesCS6B02G000400	Chr6B	185379	185882	+	185630	Chr6B	6454160	6454663	+	6454411	1.0	1.0	collinear
gene:TraesCS6B02G000500	Chr6B	197644	198153	+	197898	Chr6B	6466177	6466686	+	6466431	1.0	1.0	collinear
gene:TraesCS6B02G000600	Chr6B	260456	260755	-	260605	Chr6B	6543432	6543731	-	6543581	1.0	1.0	collinear
gene:TraesCS6B02G000700	Chr6B	293059	296128	-	294593	Chr6B	6575372	6578441	-	6576906	1.0	1.0	collinear
gene:TraesCS6B02G000800	Chr6B	484200	485669	+	484934	Chr6B	6762615	6764084	+	6763349	1.0	1.0	collinear
gene:TraesCS6B02G000900	Chr6B	608571	610157	-	609364	Chr6B	6886436	6888022	-	6887229	1.0	1.0	collinear
gene:TraesCS6B02G001000	Chr6B	697792	700255	+	699023	Chr6B	6975666	6978129	+	6976897	1.0	1.0	collinear
gene:TraesCS6B02G001100	Chr6B	701374	702030	+	701702	Chr6B	6979248	6979904	+	6979576	1.0	1.0	collinear
gene:TraesCS6B02G001200	Chr6B	702076	702636	+	702356	Chr6B	6979950	6980510	+	6980230	1.0	1.0	collinear
gene:TraesCS6B02G001300	Chr6B	728447	731986	-	730216	Chr6B	7006041	7009897	-	7007969	1.0	1.0	collinear
gene:TraesCS6B02G001500	Chr6B	1002899	1011655	+	1007277	Chr6B	2002622	2010720	-	2006671	0.995	0.924	collinear
gene:TraesCS6B02G002900	Chr6B	2255419	2256214	+	2255816	Chr6B	2215711	2216506	-	2216108	1.0	0.996	collinear
gene:TraesCS6B02G003000	Chr6B	2302243	2309275	-	2305759	Chr6B	2164666	2171699	+	2168182	1.0	0.997	collinear
gene:TraesCS6B02G003100	Chr6B	2400557	2401522	+	2401039	Chr6B	2051556	2052521	-	2052038	1.0	0.996	collinear
gene:TraesCS6B02G003400	Chr6B	2607790	2608692	-	2608241	Chr6B	1835476	1836395	+	1835935	1.0	0.979	collinear
gene:TraesCS6B02G003500	Chr6B	2608929	2610312	+	2609620	Chr6B	1834170	1835239	-	1834704	1.0	0.995	collinear
gene:TraesCS6B02G003700	Chr6B	2659659	2661066	-	2660362	Chr6B	1781047	1782454	+	1781750	1.0	0.99	collinear
gene:TraesCS6B02G003800	Chr6B	2717048	2719606	+	2718327	Chr6B	1745077	1747635	-	1746356	1.0	0.992	collinear
gene:TraesCS6B02G003900	Chr6B	2772089	2773599	+	2772844	Chr6B	1662556	1664066	-	1663311	1.0	0.984	collinear
gene:TraesCS6B02G004300	Chr6B	3382812	3384623	+	3383717	Chr6B	1475411	1477329	-	1476370	0.995	0.934	collinear
gene:TraesCS6B02G004400	Chr6B	3384708	3387486	+	3386097	Chr6B	1472545	1475325	-	1473935	0.993	0.975	collinear
gene:TraesCS6B02G004600	Chr6B	3566528	3574981	+	3570754	Chr6B	5909397	5917575	-	5913486	1.0	1.0	collinear
gene:TraesCS6B02G004700	Chr6B	3596360	3599034	+	3597697	Chr6B	5886198	5888871	-	5887534	1.0	0.999	collinear
gene:TraesCS6B02G004800	Chr6B	3623217	3625825	+	3624521	Chr6B	5860190	5862816	-	5861503	1.0	0.995	collinear
gene:TraesCS6B02G005000	Chr6B	3870164	3871495	+	3870829	Chr6B	5653175	5654134	-	5653654	1.0	0.971	collinear
gene:TraesCS6B02G005200	Chr6B	3881179	3883043	-	3882111	Chr6B	5564064	5565897	+	5564980	0.968	0.943	collinear
gene:TraesCS6B02G005300	Chr6B	3886559	3890912	-	3888735	Chr6B	5556092	5560488	+	5558290	0.999	0.984	collinear
gene:TraesCS6B02G005400	Chr6B	4124091	4128342	+	4126216	Chr6B	5358103	5362258	-	5360180	0.96	0.926	collinear
gene:TraesCS6B02G005500	Chr6B	4138198	4142339	-	4140268	Chr6B	5566064	5570538	-	5568301	0.98	0.902	collinear
gene:TraesCS6B02G005700	Chr6B	4169889	4172152	-	4171020	Chr6B	5147073	5149308	+	5148190	0.996	0.954	collinear
gene:TraesCS6B02G006100	Chr6B	4375489	4378583	-	4377036	Chr6B	5727191	5729689	-	5728440	1.0	0.982	collinear
gene:TraesCS6B02G006400	Chr6B	4489898	4495887	-	4492892	Chr6B	4963120	4969108	+	4966114	1.0	0.992	collinear
gene:TraesCS6B02G006600	Chr6B	4532464	4538566	-	4535515	Chr6B	4928207	4934311	+	4931259	1.0	0.995	collinear
gene:TraesCS6B02G006700	Chr6B	4547022	4547699	-	4547360	Chr6B	4670208	4670891	+	4670549	1.0	0.931	collinear
gene:TraesCS6B02G006800	Chr6B	4553661	4560345	-	4557003	Chr6B	4882723	4889406	+	4886064	1.0	0.997	collinear
gene:TraesCS6B02G006900	Chr6B	4580994	4585934	-	4583464	Chr6B	4857760	4862516	+	4860138	1.0	0.996	collinear
gene:TraesCS6B02G007000	Chr6B	4825776	4826747	-	4826261	Chr6B	4624221	4625198	+	4624709	1.0	0.973	collinear
gene:TraesCS6B02G007100	Chr6B	4849557	4849971	-	4849764	Chr6B	4587569	4587983	+	4587776	1.0	0.992	collinear
