cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr2B	7436144	8387855	Chr2B	5375525	6326459	27	0.9996666666666667
Chr2B	8504449	9105360	Chr2B	3657994	4266233	14	0.9950714285714285
Chr2B	9724934	11086037	Chr2B	1026102	2081655	21	0.9722857142857141
Chr2B	320343927	333044217	Chr2B	328975024	341613535	21	0.999904761904762
Chr2B	335510269	339112736	Chr2B	344055521	347620663	6	1.0
Chr2B	362020345	367851602	Chr2B	376399234	382151951	16	0.99975
Chr2B	373478821	374802272	Chr2B	369518381	370831872	17	0.9996470588235294
Chr2B	375133991	379787029	Chr2B	259707703	264323704	15	0.9999333333333333
Chr2B	10698	7161153	Chr2B	2487546	12963938	116	0.9892672413793104
Chr2B	11180525	123101136	Chr2B	13045499	132178078	1109	0.9944643823264201
Chr2B	129392470	240314058	Chr2B	133336474	243765775	783	0.9980332056194126
Chr2B	242536523	270216010	Chr2B	245972761	278702645	128	0.9972500000000001
Chr2B	272550652	303097333	Chr2B	281014030	311460659	46	0.9997826086956522
Chr2B	305321036	318205778	Chr2B	313676758	326820704	16	0.9995
Chr2B	349919582	361286666	Chr2B	358111281	369345965	52	0.9994038461538461
Chr2B	368308226	373311450	Chr2B	370997496	375950301	19	0.9981578947368421
Chr2B	379832912	793530997	Chr2B	382768981	793282222	3092	0.9946183699870634
Chr2B	795858036	801254636	Chr2B	793951786	800513899	68	0.9965735294117647
Chr2B	793579729	795425707	Chr2B	800941377	802549738	10	0.9583
