cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr3D	2306935	3824424	Chr3D	786509	2755680	10	0.9324
Chr3D	328640	1845881	Chr3D	8141064	9739257	15	0.9342666666666666
Chr3D	3988959	21005427	Chr3D	9963582	28325777	351	0.9971367521367521
Chr3D	299594493	309084975	Chr3D	339057021	348506111	78	0.9996794871794871
Chr3D	317202090	324312558	Chr3D	323892355	330974332	29	0.9998275862068965
Chr3D	21204309	116408326	Chr3D	32451240	139234134	965	0.9994041450777201
Chr3D	118542402	193596645	Chr3D	141366385	217132427	421	0.9991947743467935
Chr3D	196947044	200390459	Chr3D	220484278	223902039	5	0.9998000000000001
Chr3D	202614073	202651143	Chr3D	226411865	226447917	4	1.0
Chr3D	206979095	213997235	Chr3D	230745174	237732164	11	0.9990000000000001
Chr3D	216425033	219568689	Chr3D	240143276	243254757	6	1.0
Chr3D	225525420	232470513	Chr3D	249390027	256294399	13	0.9995384615384615
Chr3D	234603090	244292283	Chr3D	258408723	269107177	13	1.0
Chr3D	246327705	257173258	Chr3D	269907315	281919276	29	0.9996551724137931
Chr3D	259434941	298593191	Chr3D	284154927	323299268	140	0.99885
Chr3D	309654306	316816331	Chr3D	331356345	338489707	40	0.9999750000000001
Chr3D	324387385	492131921	Chr3D	349190233	515777854	1383	0.9994454085321766
Chr3D	494653889	615474754	Chr3D	518755096	640210802	1592	0.9981344221105529
