cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr3A	7164870	128718501	Chr3A	273424	133709717	1288	0.9952507763975156
Chr3A	130835529	181088605	Chr3A	135810096	185737114	214	0.998518691588785
Chr3A	184214632	251342423	Chr3A	188841254	256681890	205	0.9996682926829269
Chr3A	259064196	267056348	Chr3A	264276059	272241418	12	0.9978333333333333
Chr3A	269215500	273159995	Chr3A	274416126	278320668	6	0.9996666666666667
Chr3A	275284207	283103162	Chr3A	280444797	288204768	7	0.9998571428571428
Chr3A	288539387	293589663	Chr3A	294283206	299304169	6	0.999
Chr3A	295949198	314620161	Chr3A	301642821	320100367	24	0.9997916666666667
Chr3A	321109384	337881732	Chr3A	329311332	346464010	30	0.9995999999999999
Chr3A	340259729	343231466	Chr3A	348853406	351787495	8	0.9964999999999999
Chr3A	345871376	349014829	Chr3A	354432208	357555222	6	0.9998333333333335
Chr3A	351126951	528599904	Chr3A	359658781	536494016	869	0.9987134637514383
Chr3A	533624052	545153837	Chr3A	536575946	548001442	76	0.9916184210526318
Chr3A	556260652	750618114	Chr3A	553803683	755003641	2118	0.9970873465533523
Chr3A	529107092	530496965	Chr3A	551347128	552804749	14	0.994642857142857
Chr3A	531078912	533635789	Chr3A	548540568	550744239	27	0.9941851851851851
Chr3A	545257989	547981226	Chr3A	101785064	104526116	30	0.9985333333333333
Chr3A	549266231	555697701	Chr3A	105795587	112088169	46	0.9953478260869566
