cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr7A	211205518	211732393	Chr7A	170813407	171370256	16	0.9881249999999999
Chr7A	379029586	381248677	Chr7A	404896536	407116695	8	0.9977499999999999
Chr7A	244308	71670370	Chr7A	6618839	81830487	890	0.9908415730337079
Chr7A	73730871	311914665	Chr7A	84319403	324525367	1541	0.9957423750811161
Chr7A	314415263	336757348	Chr7A	327011435	349722225	34	0.9937941176470588
Chr7A	339518826	356369547	Chr7A	352557094	369742205	47	0.9954893617021279
Chr7A	359051136	360613751	Chr7A	372203458	373864341	3	0.9973333333333333
Chr7A	362739671	378457252	Chr7A	378752631	394149975	21	0.9983809523809525
Chr7A	383177610	387174774	Chr7A	398479221	402924679	8	0.9975
Chr7A	391904207	686937686	Chr7A	408079414	706587208	1920	0.9983083333333334
Chr7A	688964282	736698014	Chr7A	708320689	762190442	625	0.9952175999999999
Chr7A	687954204	688829812	Chr7A	699181988	700058862	11	0.9976363636363638
Chr7A	735168702	735842521	Chr7A	760833624	761678982	8	0.98
