cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr5B	2561439	4061276	Chr5B	3355678	4912107	13	1.0
Chr5B	4549237	5919851	Chr5B	6338476	8571173	11	0.9993636363636363
Chr5B	6219225	13774867	Chr5B	12710531	21362375	104	0.996778846153846
Chr5B	212191462	213475093	Chr5B	216808869	218116006	9	0.9991111111111112
Chr5B	215881778	216846297	Chr5B	213426788	214394752	7	0.9982857142857142
Chr5B	18796	863254	Chr5B	9763756	10836338	8	0.9886250000000001
Chr5B	13860088	149330732	Chr5B	21979576	165607249	844	0.9954715639810428
Chr5B	152509380	167292122	Chr5B	167982290	185707774	26	0.9977307692307693
Chr5B	173856903	192381573	Chr5B	188506634	211318830	29	0.9952413793103447
Chr5B	201287121	211739188	Chr5B	218558785	229985232	31	0.9974516129032258
Chr5B	219089253	236283952	Chr5B	245203615	262675405	69	0.9965797101449273
Chr5B	238316269	257532817	Chr5B	264463302	283265061	78	0.9992179487179487
Chr5B	259539413	341562322	Chr5B	285233277	367645873	499	0.9976533066132265
Chr5B	343826709	383208800	Chr5B	369869653	409097848	216	0.9981666666666666
Chr5B	386333053	412688052	Chr5B	409354994	437480734	198	0.9956767676767674
Chr5B	414828778	712008935	Chr5B	438775963	737866492	3065	0.9949814029363785
Chr5B	696386751	697681628	Chr5B	728599233	729718124	13	0.9702307692307692
Chr5B	712050809	713118452	Chr5B	19930	1300422	26	0.9826153846153846
