cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr6B	114487	22558067	Chr6B	1473935	25351586	228	0.9778464912280702
Chr6B	24939536	103962989	Chr6B	25366226	107329477	737	0.9971112618724559
Chr6B	106468710	109142658	Chr6B	109824301	112500081	7	1.0
Chr6B	111685641	240401733	Chr6B	117064688	250417289	774	0.994970284237726
Chr6B	243269422	252842611	Chr6B	253373823	263006608	29	0.9978620689655172
Chr6B	255004953	262472341	Chr6B	265131504	272823759	31	0.9930322580645161
Chr6B	297302724	300720582	Chr6B	306748263	310167405	20	0.9958
Chr6B	341712366	343111521	Chr6B	347560603	348927973	5	0.9944
Chr6B	369310389	372577973	Chr6B	379682361	382937493	8	0.998
Chr6B	402215985	424306904	Chr6B	411659785	433501317	56	0.9959285714285715
Chr6B	433040290	441049080	Chr6B	440708409	448614153	42	0.9980714285714285
Chr6B	444540716	479000671	Chr6B	452105953	490792966	171	0.9968011695906431
Chr6B	495431601	500239317	Chr6B	506509134	511446947	25	0.99992
Chr6B	516078619	620708761	Chr6B	528115957	634758284	656	0.9984222560975609
Chr6B	622726250	626889431	Chr6B	636676944	640753468	37	0.9965945945945947
Chr6B	630465748	706997506	Chr6B	644326844	721968732	721	0.993244105409154
Chr6B	710098490	720953306	Chr6B	723541947	733148995	28	0.9373214285714286
