cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr7B	34838	36507841	Chr7B	45754	37555196	344	0.9956627906976744
Chr7B	39548352	154814815	Chr7B	39843424	158023307	843	0.9957259786476867
Chr7B	267241424	268454741	Chr7B	271972024	273146425	3	1.0
Chr7B	310413787	312442469	Chr7B	313174089	315053788	5	1.0
Chr7B	339608788	340640628	Chr7B	340341802	341381356	5	1.0
Chr7B	347979925	350884835	Chr7B	348260399	351136694	4	0.99975
Chr7B	364699839	389109218	Chr7B	367846651	392941532	122	0.9989016393442625
Chr7B	391956637	405970176	Chr7B	395808243	409801609	52	0.9995576923076922
Chr7B	408568404	419042240	Chr7B	412377605	422943478	45	0.9997111111111113
Chr7B	421064524	541167218	Chr7B	424927695	545543054	778	0.9988753213367609
Chr7B	543188151	719120281	Chr7B	547539001	725893198	1395	0.9945727598566309
Chr7B	724796903	726017107	Chr7B	732856947	734149611	14	0.9814999999999999
Chr7B	728674976	731960566	Chr7B	736706774	740153977	16	0.95625
Chr7B	749332248	750609249	Chr7B	754671419	756415554	17	0.9626470588235295
