cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	240303	143772870	1427	0.999103714085494
Chr4D	143579930	155648423	Chr4D	146434483	158431428	16	0.99975
Chr4D	163412513	183387226	Chr4D	166211271	186711279	26	0.9998846153846154
Chr4D	188710899	192736636	Chr4D	193428619	197408854	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	199671532	203202638	7	0.9994285714285714
Chr4D	201443437	212157624	Chr4D	206489938	217897256	28	0.9992142857142856
Chr4D	214312396	228145178	Chr4D	220028423	233765883	23	0.9996521739130435
Chr4D	230482531	238626311	Chr4D	235969499	244293463	11	0.9996363636363637
Chr4D	240933419	248933627	Chr4D	246587519	255422477	19	0.9997368421052633
Chr4D	251524682	256552996	Chr4D	257993127	262987574	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	265310743	267710446	6	0.9998333333333335
Chr4D	263946972	268074619	Chr4D	270382245	274472780	7	0.9984285714285714
Chr4D	270654719	329311457	Chr4D	277049075	335815862	242	0.9991322314049587
Chr4D	331638064	375735889	Chr4D	338121602	382184115	302	0.9996456953642385
Chr4D	377828182	410407878	Chr4D	384296343	419871664	238	0.9992857142857142
Chr4D	412715801	509853899	Chr4D	422652615	523091806	1157	0.9993586862575627
Chr4D	505700667	507006408	Chr4D	525273527	526580435	24	0.9999166666666667
