cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr4A	82701	52611541	Chr4A	118235	52123333	564	0.9968723404255321
Chr4A	58221890	63012222	Chr4A	57144300	62048715	45	0.9935999999999997
Chr4A	70810849	75466580	Chr4A	69919626	74579884	37	0.9932972972972972
Chr4A	81276884	130504034	Chr4A	80721065	129803040	280	0.9951928571428571
Chr4A	132701921	192628546	Chr4A	131863199	191461846	261	0.9986858237547892
Chr4A	195313531	220022826	Chr4A	194127800	218710134	45	0.9979555555555556
Chr4A	222107768	222562036	Chr4A	220787753	221249005	3	1.0
Chr4A	225313869	227091476	Chr4A	223973122	225733169	4	0.99975
Chr4A	229493172	242884659	Chr4A	228157668	241562797	21	0.999952380952381
Chr4A	329170186	334268011	Chr4A	328329565	333525659	6	0.9994999999999999
Chr4A	338745706	350244063	Chr4A	337993792	349307627	22	0.999909090909091
Chr4A	352270324	353874280	Chr4A	351441563	353035043	4	0.99975
Chr4A	356554191	359638234	Chr4A	355686366	358728364	6	0.9998333333333335
Chr4A	362089683	365639149	Chr4A	361158723	364714735	5	1.0
Chr4A	373805571	387104269	Chr4A	374572295	387772264	15	0.9996000000000002
Chr4A	389242085	390892975	Chr4A	389902530	391527457	3	1.0
Chr4A	395027325	398506001	Chr4A	395635194	399078156	6	1.0
Chr4A	400757887	401303656	Chr4A	401286402	401837491	3	0.999
Chr4A	407610912	420517232	Chr4A	408078140	420936556	17	0.9997647058823529
Chr4A	422761993	508494353	Chr4A	423165935	508443736	414	0.9981159420289856
Chr4A	510639254	641610833	Chr4A	510554492	643322972	1490	0.9978194630872483
Chr4A	662457527	667063202	Chr4A	662770076	668345877	42	0.9845714285714285
Chr4A	688953621	689137270	Chr4A	694350456	694531880	5	0.9996
Chr4A	709978062	710796534	Chr4A	714411018	715424271	16	0.9808749999999999
Chr4A	732512167	735065238	Chr4A	736020837	738101508	26	0.9873076923076923
