gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity	segment
gene:TraesCS3D02G006500	Chr3D	2306529	2307342	+	2306935	Chr3D	2755271	2756090	-	2755680	1.0	0.945	rearrangement:Chr3D_block1
gene:TraesCS3D02G006800	Chr3D	2413787	2415102	+	2414444	Chr3D	2734467	2735810	-	2735138	0.984	0.959	rearrangement:Chr3D_block1
gene:TraesCS3D02G007100	Chr3D	2461836	2462258	-	2462047	Chr3D	2490509	2490936	+	2490722	0.992	0.904	rearrangement:Chr3D_block1
gene:TraesCS3D02G007400	Chr3D	2589848	2597476	+	2593662	Chr3D	2464596	2471843	-	2468219	0.949	0.904	rearrangement:Chr3D_block1
gene:TraesCS3D02G007600	Chr3D	2619155	2627987	+	2623571	Chr3D	2426457	2435230	+	2430843	0.961	0.918	rearrangement:Chr3D_block1
gene:TraesCS3D02G007900	Chr3D	2749638	2749994	+	2749816	Chr3D	2378128	2378484	+	2378306	1.0	0.935	rearrangement:Chr3D_block1
gene:TraesCS3D02G008700	Chr3D	3011970	3015359	+	3013664	Chr3D	2184348	2187557	+	2185952	1.0	0.965	rearrangement:Chr3D_block1
gene:TraesCS3D02G009700	Chr3D	3293500	3295229	-	3294364	Chr3D	1709974	1711686	+	1710830	0.995	0.921	rearrangement:Chr3D_block1
gene:TraesCS3D02G009800	Chr3D	3297116	3301879	+	3299497	Chr3D	1701774	1706029	-	1703901	0.997	0.947	rearrangement:Chr3D_block1
gene:TraesCS3D02G010500	Chr3D	3822452	3826397	-	3824424	Chr3D	784604	788415	-	786509	0.969	0.926	rearrangement:Chr3D_block1
gene:TraesCS3D02G000200	Chr3D	328329	328952	+	328640	Chr3D	9738947	9739567	+	9739257	0.995	0.939	rearrangement:Chr3D_block2
gene:TraesCS3D02G000400	Chr3D	356416	357339	-	356877	Chr3D	9655080	9656018	+	9655549	1.0	0.96	rearrangement:Chr3D_block2
gene:TraesCS3D02G001400	Chr3D	707880	709355	+	708617	Chr3D	9362295	9363761	-	9363028	0.993	0.945	rearrangement:Chr3D_block2
gene:TraesCS3D02G001500	Chr3D	770364	773698	+	772031	Chr3D	9337344	9340686	-	9339015	0.977	0.9	rearrangement:Chr3D_block2
gene:TraesCS3D02G001600	Chr3D	774041	778387	-	776214	Chr3D	9332669	9336939	+	9334804	0.977	0.94	rearrangement:Chr3D_block2
gene:TraesCS3D02G001900	Chr3D	865996	870567	-	868281	Chr3D	9293353	9298360	+	9295856	0.989	0.91	rearrangement:Chr3D_block2
gene:TraesCS3D02G002000	Chr3D	925863	930264	-	928063	Chr3D	9227951	9232462	+	9230206	0.993	0.936	rearrangement:Chr3D_block2
gene:TraesCS3D02G002900	Chr3D	1279421	1281425	+	1280423	Chr3D	8635225	8637319	-	8636272	0.976	0.91	rearrangement:Chr3D_block2
gene:TraesCS3D02G003500	Chr3D	1602462	1602965	-	1602713	Chr3D	8453542	8454054	+	8453798	1.0	0.939	rearrangement:Chr3D_block2
gene:TraesCS3D02G003600	Chr3D	1606509	1608807	-	1607658	Chr3D	8448032	8450336	+	8449184	0.988	0.947	rearrangement:Chr3D_block2
gene:TraesCS3D02G003700	Chr3D	1634040	1636188	-	1635114	Chr3D	8430867	8433012	+	8431939	0.998	0.956	rearrangement:Chr3D_block2
gene:TraesCS3D02G003800	Chr3D	1638722	1640647	-	1639684	Chr3D	8426413	8428276	+	8427344	0.937	0.912	rearrangement:Chr3D_block2
gene:TraesCS3D02G004200	Chr3D	1743755	1745410	+	1744582	Chr3D	8280489	8282135	-	8281312	0.979	0.914	rearrangement:Chr3D_block2
gene:TraesCS3D02G004500	Chr3D	1765787	1771755	-	1768771	Chr3D	8249461	8255061	+	8252261	0.977	0.955	rearrangement:Chr3D_block2
gene:TraesCS3D02G004600	Chr3D	1845275	1846487	+	1845881	Chr3D	8140449	8141680	-	8141064	0.992	0.951	rearrangement:Chr3D_block2
gene:TraesCS3D02G010700	Chr3D	3986954	3990965	-	3988959	Chr3D	9961890	9965275	-	9963582	0.979	0.915	rearrangement:Chr3D_block2
gene:TraesCS3D02G010900	Chr3D	4012104	4013109	+	4012606	Chr3D	9982907	9983913	+	9983410	0.996	0.965	rearrangement:Chr3D_block2
gene:TraesCS3D02G013100	Chr3D	4504881	4506056	+	4505468	Chr3D	10585582	10586737	-	10586159	0.983	0.906	rearrangement:Chr3D_block2
gene:TraesCS3D02G013500	Chr3D	4866164	4866673	-	4866418	Chr3D	10659700	10660209	-	10659954	1.0	0.901	rearrangement:Chr3D_block2
gene:TraesCS3D02G013700	Chr3D	4956998	4957663	-	4957330	Chr3D	11267883	11268547	-	11268215	1.0	0.958	rearrangement:Chr3D_block2
gene:TraesCS3D02G015200	Chr3D	5372968	5376568	-	5374768	Chr3D	11825941	11829542	+	11827741	1.0	0.949	rearrangement:Chr3D_block2
gene:TraesCS3D02G015300	Chr3D	5406391	5410203	-	5408297	Chr3D	12015419	12019168	-	12017293	0.988	0.906	rearrangement:Chr3D_block2
gene:TraesCS3D02G015400	Chr3D	5411900	5412617	+	5412258	Chr3D	12167336	12168055	+	12167695	1.0	0.957	rearrangement:Chr3D_block2
gene:TraesCS3D02G015600	Chr3D	5601666	5605871	-	5603768	Chr3D	12300459	12304577	-	12302518	0.939	0.9	rearrangement:Chr3D_block2
gene:TraesCS3D02G015900	Chr3D	5649356	5651648	+	5650502	Chr3D	12339610	12342016	+	12340813	1.0	0.953	rearrangement:Chr3D_block2
gene:TraesCS3D02G016100	Chr3D	5680014	5681497	-	5680755	Chr3D	12368322	12369805	-	12369063	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G016200	Chr3D	5725298	5726713	+	5726005	Chr3D	12413605	12415020	+	12414312	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G016300	Chr3D	5733130	5737195	-	5735162	Chr3D	12421437	12425508	-	12423472	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G016400	Chr3D	5757697	5761111	-	5759404	Chr3D	12445369	12448777	-	12447073	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G016500	Chr3D	5790619	5794367	+	5792493	Chr3D	12478758	12482506	+	12480632	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G016600	Chr3D	5802877	5804191	+	5803534	Chr3D	12490748	12492062	+	12491405	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G016700	Chr3D	5810253	5811188	+	5810720	Chr3D	12497747	12498682	+	12498214	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G016800	Chr3D	5812552	5813779	-	5813165	Chr3D	12500046	12501273	-	12500659	1.0	0.998	rearrangement:Chr3D_block2
gene:TraesCS3D02G016900	Chr3D	5814394	5815759	-	5815076	Chr3D	12501888	12503253	-	12502570	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G017000	Chr3D	5856669	5858004	-	5857336	Chr3D	12544008	12545343	-	12544675	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G017100	Chr3D	5861814	5863543	+	5862678	Chr3D	12548994	12550723	+	12549858	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G017200	Chr3D	5864830	5866648	-	5865739	Chr3D	12552010	12553828	-	12552919	1.0	0.999	rearrangement:Chr3D_block2
gene:TraesCS3D02G017300	Chr3D	5869810	5873304	+	5871557	Chr3D	12556990	12560484	+	12558737	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G017400	Chr3D	5875424	5880650	-	5878037	Chr3D	12562604	12567830	-	12565217	1.0	0.999	rearrangement:Chr3D_block2
gene:TraesCS3D02G017500	Chr3D	6009195	6012248	+	6010721	Chr3D	12699246	12702298	+	12700772	1.0	1.0	rearrangement:Chr3D_block2
gene:TraesCS3D02G017600	Chr3D	6013194	6015417	-	6014305	Chr3D	12703246	12705469	-	12704357	1.0	1.0	rearrangement:Chr3D_block2
